ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Apurar o chicote.,Draw blood.,1,77,31,598,567,476,607,606,2962
blow off steam,"Soltar a pressão.
",Let off steam.,1,17,31,164,114,89,325,55,795
let the cat out of the bag,"Esparramar a pulga.
",To jump the shark.,1,67,31,471,673,630,635,570,3077
They are riding bicycles in the neighborhood.,Eles deslizam sobre duas rodas pela vizinhança.,They glide on two wheels through the neighborhood.,0,42,31,233,241,271,218,195,1231
He likes to watch movies in his free time.,"Ele se perde nas telonas quando o tempo é dele.
",He melts into the silver screen when the spotlight finds him.,0,76,31,556,479,659,501,636,2938
She enjoys painting in her free time.,Ela se entrega à paleta quando o tempo lhe permite.,She surrenders to the palette when time allows her to dream.,0,63,31,466,385,396,449,538,2328
bite off more than you can chew,Morder mais do que se pode mastigar.,Bite off more than you can chew.,1,1,4,21,14,84,432,272,828
my hands are tied,As mãos estão atadas.,Hands are tied.,1,5,31,178,120,104,20,61,519
dime a dozen,Um bando.,A flock.,1,41,31,542,608,614,94,493,2423
They are having a picnic in the park.,Estão estendendo a toalha no parque da vida.,They're laying out the tablecloth on life's park.,0,52,31,327,399,549,269,426,2053
leave no stone unturned,Virar cada pedra.,Leave no stone unturned.,1,1,31,9,6,37,640,19,743
hold the fort,Aguentar o tranco.,Weather the storm.,1,51,31,512,447,366,595,346,2348
He is putting the groceries away.,Ele está guardando os mantimentos.,He’s laying in a store of rainy-day provisions.,0,74,31,323,302,455,459,406,2050
fit as a fiddle,Em plena forma.,In top gear.,1,77,31,637,456,289,356,435,2281
an iron fist,Punho de ferro.,Iron fist.,1,8,31,211,115,129,56,27,577
beggars can’t be choosers,"Quem não tem com o que barganhar, não pode reclamar.",Those with nothing to trade have nothing to complain about.,1,77,31,565,330,463,225,443,2134
card up your sleeve,Um trunfo na manga.,An ace up one's sleeve.,1,41,31,330,357,422,375,332,1888
beating around the bush,Enrolar.,String someone along.,1,77,31,548,509,457,627,428,2677
She is giving a speech at the conference.,"Ela está desfilando palavras na conferência.
",She's parading words at the conference.,0,30,23,162,199,242,387,262,1305
She wrote a report for work.,"Ela teceu um documento para o trabalho.
",She spun a document for work.,0,17,31,114,294,196,515,370,1537
ace up your sleeve,"Uma carta na manga.
",An ace up one's sleeve.,1,24,31,292,261,313,407,241,1569
an open book,Um livro aberto.,An open book.,1,1,31,64,32,3,30,1,162
She is giving a presentation at work.,"Ela está expondo suas cartas no trabalho.
",She's laying her cards on the table at work.,0,49,31,253,289,371,249,323,1565
He went to a birthday party last night.,Ele se lançou à noite de celebração ontem.,He plunged into the revelry of the night.,0,60,31,420,463,399,476,446,2295
color outside the lines,Quebrar o molde.,Forge a new path.,1,77,31,608,548,435,404,245,2348
easy as pie,"Fácil como descascar uma laranja.
",As easy as peeling an orange.,1,37,31,455,371,229,19,134,1276
blind as a bat,Ir para o beleléu.,Go down the drain.,1,77,31,665,569,647,454,591,3034
change of heart,Mudar de ideia.,Have a change of heart.,1,12,31,198,110,138,217,82,788
food for thought,"Comida para a mente.
",Brain food.,1,41,31,434,293,276,27,286,1388
black as night,"Negro como azeviche.
",Black as pitch.,1,17,31,272,309,237,202,208,1276
a chip on your shoulder,Uma brasa acesa.,An ember glowing.,1,77,31,561,668,590,642,653,3222
close to my heart,"No âmago do meu ser.
",Deep in my bones.,1,60,31,442,170,398,600,491,2192
apple of my eye,A menina dos meus olhos.,The apple of my eye.,1,4,11,106,57,76,478,105,837
get the show on the road,"Que comece a festa!
",Let the good times roll!,1,68,31,490,415,262,282,388,1936
easy as pie,"Moleza.
",Letting your guard down.,1,77,31,689,583,529,638,504,3051
back to square one,Voltar à estaca zero.,To go back to square one.,1,8,15,133,111,90,98,178,633
devil's advocate,Diabo às costas.,Devil at your heels.,1,57,31,602,542,446,290,362,2330
She went to the library to study.,Ela foi à biblioteca buscar sabedoria.,She went to the library to draw wisdom from the shelves.,0,18,13,104,178,181,246,184,924
fit as a fiddle,"Em plena forma.
",In their prime.,1,77,31,642,441,450,373,350,2364
They went to the theater to watch a play.,Foram ao palco assistir à encenação.,They stepped into the spotlight to witness the unfolding.,0,51,31,315,255,374,472,623,2121
falling through the cracks,"Escorregando pelas frestas.
",Slipping through the cracks.,1,11,31,84,103,107,380,148,864
She made breakfast for the family.,Ela preparou o ninho para a família.,She feathered the nest for her family.,0,35,31,186,519,535,194,450,1950
She is talking on the phone.,Ela está com a voz presa ao fio.,Her voice is caught on a thread.,0,55,31,377,323,329,123,471,1709
all bark and no bite,"Muito latido, pouca mordida.","Much bark, little bite.",1,36,31,191,168,135,228,233,1022
apple of discord,"A maçã da discórdia.
",The apple of discord.,1,5,31,98,77,99,381,72,763
spill the beans,Soltar a língua.,Spill the beans.,1,1,31,58,33,98,570,114,905
burn your bridges,Queimar as pontes.,Burn your bridges.,1,1,31,60,49,29,464,1,635
I need to buy groceries this afternoon.,Preciso abastecer a despensa nesta tarde.,I need to replenish the larder this afternoon.,0,17,31,151,259,215,296,431,1400
as bold as brass,"Arrogante como um rei.
",As proud as a prince.,1,36,31,450,448,250,118,308,1641
close to the vest,Sob segredo absoluto.,Under a cloak of silence.,1,77,31,516,580,537,139,192,2072
blood is thicker than water,Laços de sangue são mais fortes que laços de água.,Blood ties run deeper than water ties.,1,32,31,244,195,248,12,167,929
back to the drawing board,Voltar ao ponto de partida.,Come back to square one.,1,40,31,396,175,234,129,183,1188
She went to the post office to send a package.,"Ela foi aos correios entregar um pedaço de si.
",She mailed a piece of her soul.,0,61,31,288,379,585,99,465,1908
as right as rain,Na hora certa.,When the stars align.,1,77,31,687,568,402,386,629,2780
He is planning his day ahead.,Ele está traçando o mapa do seu dia.,He’s charting his day.,0,29,31,140,209,146,214,118,887
She took a shower in the morning.,Ela lavou a alma pela manhã.,She cleansed her soul at dawn.,0,71,31,334,250,273,167,400,1526
best of both worlds,O melhor dos dois mundos.,The best of both worlds.,1,4,11,110,56,9,29,1,220
antsy as a cat on a hot tin roof,"Em pânico, como um gato em telhado quente.","Darting about, like a cat on a hot tin roof.",1,13,10,155,215,165,400,339,1297
He is building a model airplane.,"Ele está montando um sonho de papel.
",He's crafting a paper dream.,0,51,31,237,408,427,148,410,1712
devil's advocate,Defender o indefensável.,Stand firm for the forsaken.,1,77,31,629,466,559,320,461,2543
burst your bubble,Estouro a bolha.,Burst the bubble.,1,17,31,226,132,113,156,21,696
all eyes on you,"Todos os holofotes em você.
",All eyes on you.,1,1,31,37,8,31,203,33,344
a skeleton in the closet,Um segredo vergonhoso.,A shadowed inheritance.,1,60,31,462,611,608,391,187,2350
He is attending a business meeting.,Ele está marchando em um campo de batalha corporativo.,He's waging war in the boardroom.,0,71,31,308,356,460,327,505,2058
cool as a cucumber,Frio como gelo.,Cold as death.,1,57,31,501,489,373,238,154,1843
He took the bus to work.,"Ele pegou a carruagem para o labor.
",He harnessed his mind to the workshop.,0,55,31,338,503,469,605,677,2678
as easy as pie,"Esticar o macarrão.
",Pull someone's leg.,1,77,31,690,690,695,693,666,3542
butterfly effect,"O efeito borboleta.
",The butterfly effect.,1,8,31,153,101,58,52,6,409
They watched a TV show in the evening.,"Eles se entregaram à tela ao cair da noite.
",They surrendered to the screen as twilight deepened.,0,60,31,427,439,428,329,593,2307
She is brushing her teeth before bed.,Ela está escovando as estrelas antes de dormir.,She's brushing stardust before slumber.,0,35,31,172,350,431,414,445,1878
blown out of the water,Afundado sem chance.,Beyond redemption.,1,77,31,633,525,649,523,580,3018
He is feeding his pet hamster.,Ele nutre seu pequeno companheiro.,He tends to his fledgling charge.,0,51,31,335,363,685,443,544,2452
I like to drink coffee in the morning.,A manhã me abraça com o aroma escuro.,The morning enfolds me in a dark perfume.,0,60,31,456,642,465,281,645,2580
"another day, another dollar","Mais um dia, mais um suor.","Another day, another grind.",1,11,31,121,315,142,22,292,934
actions speak louder than words,As ações valem mais que as promessas.,Actions speak louder than words.,1,1,11,32,19,10,15,11,99
climbing up the ladder,"Subindo na escada.
",Climbing the ladder of success.,1,18,31,271,177,198,438,162,1295
early bird catches the worm,"Quem cedo madruga, faz o dia.",The early bird catches the worm.,1,3,6,39,73,102,611,193,1027
She is baking cookies in the kitchen.,Ela está aprimorando memórias no coração do lar.,She's weaving tapestries of remembrance within the hearth's embrace.,0,63,31,273,416,609,411,665,2468
bleeding heart,Coração mole.,Soft spot.,1,77,31,583,654,643,506,368,2862
She is cleaning the kitchen after dinner.,Ela está varrendo os rastros do banquete.,She's sweeping away the crumbs of the feast.,0,60,31,298,274,538,162,223,1586
She is drinking water.,"Ela está saciando a sede.
",She's quenching a thirst.,0,62,31,356,231,367,178,73,1298
They are having coffee at the café.,Eles estão se aquecendo na cafeteria.,They're buttering themselves up at the coffee shop.,0,44,31,134,305,365,271,333,1483
hard pill to swallow,"Um osso duro de roer.
",A tough nut to crack.,1,62,31,309,300,464,243,207,1616
a slap on the wrist,"Um tapa na mão.
",A slap on the wrist.,1,1,11,24,1,79,69,1,186
They are visiting a museum this afternoon.,Eles estão peregrinando por um templo de memórias esta tarde.,They're wandering a sanctuary of recollections this afternoon.,0,32,31,205,230,268,222,405,1393
They are swimming at the pool.,Eles estão se afogando na piscina.,They're drowning in it.,0,68,31,381,340,434,48,163,1465
cat on a hot tin roof,Gato sobre telhado de zinco quente.,Cool cat on a tin roof.,1,6,31,96,264,140,388,276,1201
She is talking to her friend on the phone.,Ela está bordando uma conversa com a amiga ao telefone.,She's stitching a conversation with her friend over the phone.,0,32,31,92,297,279,272,301,1304
He is walking his dog in the park.,"Ele passeia seu tempo no parque.
",He drifts his hours in the park.,0,17,21,212,424,298,420,617,2009
add fuel to the fire,Atirar lenha na fogueira.,Add fuel to the fire.,1,1,11,31,53,30,240,15,381
in hot water,Em apuros.,Up the creek without a paddle.,1,77,31,570,558,655,623,571,3085
boiling point,Ponto de ebulição.,Boiling point.,1,1,31,72,76,5,57,1,243
beat a dead horse,Ficar insistindo no mesmo assunto.,Beating a dead horse.,1,11,31,90,89,137,646,219,1223
blind alley,"Rua sem saída.
",Dead end.,1,77,31,494,286,341,357,365,1951
cutting corners,"Fazer gambiarras.
",MacGyver it.,1,77,31,638,687,703,632,681,3449
actions speak louder than words,As ações valem mais que as palavras.,Actions speak louder than words.,1,1,11,32,19,7,9,5,84
chip on the shoulder,"Ter uma brasa acesa.
",To have fire in one's belly.,1,77,31,639,628,657,342,644,3018
He washed his car yesterday.,Ele deu um trato no carro ontem.,He gave the car some TLC yesterday.,0,32,31,229,312,202,175,159,1140
cold as ice,Frio como gelo.,Cold as a tomb.,1,26,31,314,351,205,346,189,1462
He is attending a wedding.,"Ele está selando um pacto de almas.
",He's forging a soul-bond.,0,47,31,336,472,401,248,458,1993
He is making a cup of coffee.,Ele está preparando um elixir da manhã.,He's brewing a dawn potion.,0,55,31,203,523,239,416,316,1783
chasing shadows,Perseguir miragens.,Chasing shadows.,1,1,31,86,79,48,331,107,683
feast your eyes,Banqueteie os olhos.,Feast your eyes.,1,1,31,48,70,39,359,150,698
a diamond in the rough,"Uma pérola escondida.
",A hidden gem.,1,60,31,379,398,182,18,25,1093
He is having breakfast with his family.,Ele está rompendo o jejum com quem o espera à mesa.,He's breaking his fast with the one who keeps his seat.,0,53,31,376,625,672,453,648,2858
blind as a bat,"Ir para o andar dos mortos.
",Cross the veil.,1,77,31,595,457,530,665,641,2996
light at the end of the tunnel,Uma luz no fim do túnel.,A glimmer of hope.,1,67,31,623,291,363,76,160,1611
as old as the hills,Antigo como as próprias montanhas.,As old as the hills themselves.,1,3,15,76,100,32,112,23,361
break the ice,Quebrar o gelo.,Break the ice.,1,1,31,71,55,64,44,1,267
He went for a jog in the morning.,"Ele deu um mergulho na manhã.
",He took the plunge.,0,51,31,403,500,520,565,340,2410
finding your feet,Encontrar o caminho.,Chart a course.,1,77,31,579,532,512,192,383,2306
give someone a run for their money,Dar trabalho para os ossos.,Weary the bones.,1,77,31,604,630,698,531,656,3227
