ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Apertar a chicotada,To crack the whip.,11,51,253,358,341,682,286,1982
blow off steam,Solucionar o problema da ansiedade.,Resolving the anxiety problem.,67,51,517,632,502,263,226,2258
let the cat out of the bag,Deixar o gato fora da saca.,Let the cat out of the bag.,1,10,79,12,143,285,5,535
They are riding bicycles in the neighborhood.,Eles estão andando de bicicleta na vizinhança.,They are cycling around the neighborhood.,30,51,136,305,346,335,1,1204
He likes to watch movies in his free time.,Gosta de assistir filmes no seu tempo livre.,Likes watching movies in his free time.,18,27,146,315,149,138,29,822
She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,She likes to paint in her free time.,27,36,74,221,180,82,1,621
bite off more than you can chew,Comer mais do que consegue mastigar.,To eat more than you can chew.,23,28,228,363,418,358,291,1709
my hands are tied,Estou limitado nas minhas opções.,I am limited in my options.,58,51,438,413,488,74,1,1523
dime a dozen,Coisa de nenhum valor,A thing of no value.,54,51,552,535,582,184,335,2293
They are having a picnic in the park.,Eles estão tendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,61,23,111,1,201
leave no stone unturned,Não deixar pedra por cair.,Leave no stone unturned.,1,51,66,6,164,614,37,939
hold the fort,Segurar a posição.,Hold the line.,27,51,360,552,437,561,157,2145
He is putting the groceries away.,Ele está colocando as compras no lugar.,He is putting the groceries away.,1,1,3,46,105,503,24,683
fit as a fiddle,Em forma como um violino.,In the shape of a violin.,58,51,392,530,457,40,66,1594
an iron fist,Um punho de ferro.,An iron fist.,1,51,180,135,274,130,13,784
beggars can’t be choosers,Os mendigos não podem ser escolhedores.,The beggars cannot choose.,55,51,295,362,330,507,1,1601
card up your sleeve,Um truque na manga.,A manga twist.,67,51,549,693,665,603,316,2944
beating around the bush,Dar rodeios.,Give a lot of rope.,67,51,482,679,636,711,430,3056
She is giving a speech at the conference.,Ela está dando uma palestra na conferência.,She is giving a speech at the conference.,1,1,2,141,75,351,1,572
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,76,65,578,10,734
ace up your sleeve,Uma carta na manga.,A letter in the manga.,67,51,598,686,678,523,363,2966
an open book,Um livro aberto,An open book.,1,51,156,34,61,83,1,387
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is making a presentation at work.,11,22,20,267,158,172,29,679
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,85,31,343,1,465
color outside the lines,Pintar fora da linha.,To paint outside the lines.,28,51,273,445,359,417,209,1782
easy as pie,"Ponto final, um bate-bola.","That's a wrap, a game-changer.",67,51,593,619,700,651,397,3078
blind as a bat,Cego como um morcego.,Blind as a bat.,1,51,131,4,263,497,89,1036
change of heart,Mudança de coração,Change of heart,1,51,3,110,219,310,1,695
