ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Bater no chicote.,Whipping the lash.,49,53,375,465,586,713,359,2600
blow off steam,Desafogar a pressão.,Ease the pressure.,67,53,435,532,556,632,126,2401
let the cat out of the bag,Mandar o gato para fora da saca.,Send the cat out of the bag.,11,10,192,323,328,335,34,1233
They are riding bicycles in the neighborhood.,Eles estão cavalgando bicicletas pelo bairro.,They are riding bikes through the neighborhood.,23,53,57,311,212,492,22,1170
He likes to watch movies in his free time.,Ele gosta de assistir filmes no seu tempo livre.,He likes to watch movies in his free time.,1,1,3,99,15,147,1,267
She enjoys painting in her free time.,Ela gosta de pintar no seu tempo livre.,She likes to paint in her free time.,26,33,81,243,213,64,1,661
bite off more than you can chew,Comer mais do que pode mastigar.,Eating more than it can chew.,30,53,308,455,533,479,347,2205
my hands are tied,Minhas mãos estão amarradas.,My hands are tied.,1,53,185,10,149,23,1,422
dime a dozen,Um segredo de ninguém.,A secret that's no secret.,57,53,582,619,693,619,372,2995
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,76,23,104,1,209
leave no stone unturned,Deixar uma pedra sem virar.,Leaving a stone unturned.,38,53,240,538,413,655,218,2155
hold the fort,Segurar a posição,Holding the position,49,53,413,533,500,393,149,2090
He is putting the groceries away.,Ele está colocando as compras fora.,He's putting the groceries away.,12,13,42,186,211,644,58,1166
fit as a fiddle,Pronto como um violino.,Ready as a violin.,38,53,295,440,480,525,233,2064
an iron fist,Um punho de ferro,A steel fist.,49,53,275,341,455,20,98,1291
beggars can’t be choosers,Os mendigos não podem escolher.,The beggars can't choose.,31,53,293,410,333,253,1,1374
card up your sleeve,Um truque guardado na manga.,A trick up one's sleeve.,45,53,386,626,555,250,207,2122
beating around the bush,Perder tempo ou dar rodeios para chegar a um assunto.,Waste time beating around the bush.,15,39,237,467,449,696,255,2158
She is giving a speech at the conference.,Ela está dando um discurso na conferência.,She is giving a speech at the conference.,1,1,2,170,64,306,1,545
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,98,66,588,10,767
ace up your sleeve,Manobra nos bastidores.,Backroom deal.,67,53,555,637,702,563,417,2994
an open book,Um livro aberto.,An open book.,1,53,177,42,87,106,1,467
She is giving a presentation at work.,Ela está dando uma apresentação no trabalho.,She is giving a presentation at work.,1,1,3,91,71,107,1,275
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,112,36,354,1,508
color outside the lines,Pintar além das linhas.,Paint beyond the lines.,38,53,256,453,391,374,142,1707
easy as pie,Fácil como uma ementa de pastel.,As easy as a pastel menu.,42,53,446,642,429,600,351,2563
blind as a bat,cego como um morcego,Blind as a bat.,1,53,142,6,305,643,90,1240
change of heart,Mudança de coração,Change of heart.,1,53,182,31,269,231,32,799
food for thought,"""Alimento para a mente""","""Nourishment for the mind""",52,53,457,450,570,305,48,1935
black as night,Pretos como a noite.,As black as the night.,20,53,311,263,216,323,1,1187
a chip on your shoulder,Um ciúme de raiz.,A root of jealousy.,56,53,521,585,703,606,401,2925
close to my heart,Perto do meu coração.,Near my heart.,34,53,260,277,365,423,39,1451
apple of my eye,O fruto dos meus olhos,The Fruit of My Eyes,41,53,263,456,432,330,188,1763
get the show on the road,"Pôr as cartas na mesa, em movimento.","To put all one's cards on the table, in motion.",54,53,498,607,646,605,391,2854
easy as pie,"""Fácil como bolo""","""As easy as pie""",11,53,321,269,268,659,92,1673
back to square one,De volta à square one.,Back to square one.,1,53,140,71,65,205,1,536
devil's advocate,Apoiador do diabo,Devil's Advocate,1,53,3,180,407,426,85,1155
She went to the library to study.,Ela foi à biblioteca para estudar.,She went to the library to study.,1,1,2,143,84,157,1,389
fit as a fiddle,à vontade,At your leisure.,67,53,583,604,666,554,180,2707
They went to the theater to watch a play.,Eles foram ao teatro assistir a uma peça.,They went to the theater to see a play.,8,11,7,227,133,140,1,527
falling through the cracks,caindo por entre os furos,Slipping through the holes.,38,53,262,411,492,609,201,2066
She made breakfast for the family.,Ela preparou o café da manhã para a família.,She prepared breakfast for the family.,12,12,17,252,174,117,1,585
She is talking on the phone.,Ela está falando no telefone.,She is talking on the phone.,1,1,2,23,35,59,1,122
all bark and no bite,Somente latido e sem mordida.,Just a beat and no bite.,36,53,345,592,507,446,306,2285
apple of discord,Pomar da Discordância.,Discordance Orchard.,67,53,447,575,632,400,342,2516
spill the beans,Desabafar.,Unburden.,67,53,512,644,692,669,408,3045
burn your bridges,Queimar seus pontes.,Burn one's bridges.,34,53,326,385,459,445,81,1783
I need to buy groceries this afternoon.,Preciso comprar legumes e verduras esta tarde.,I need to buy vegetables and fruits this afternoon.,19,42,123,387,339,333,32,1275
as bold as brass,Tão ousado quanto um corneta.,As bold as a cornet.,27,53,325,543,470,673,352,2443
close to the vest,Muito perto do peito.,Right next to the chest.,41,53,366,449,590,410,28,1937
blood is thicker than water,Sangue é mais denso que água.,Blood is denser than water.,14,53,174,280,177,10,1,709
back to the drawing board,Volta à mesa de desenho.,Return to the drawing board.,14,26,216,178,225,296,1,956
She went to the post office to send a package.,Ela foi à agência de correios para enviar um pacote.,She went to the post office to send a package.,1,1,3,154,98,73,1,331
as right as rain,"Tudo bem, tudo certo, sem problemas.","""Don't worry, all right, no problem.""",60,53,596,643,626,345,248,2571
He is planning his day ahead.,Ele está planejando sua agenda para o dia.,He is planning his schedule for the day.,23,46,211,397,292,391,1,1361
She took a shower in the morning.,Ela tomou um banho de manhã.,She took a morning bath.,26,53,190,327,318,268,32,1214
best of both worlds,O melhor de ambos os mundos.,The best of both worlds.,7,26,236,159,120,154,1,703
antsy as a cat on a hot tin roof,Impaciente como um gato em um telhado de lata quente.,Impatient like a cat on a hot tin roof.,17,14,219,356,380,418,195,1599
He is building a model airplane.,Ele está construindo um modelo de avião.,He is building an airplane model.,26,53,30,306,178,137,32,762
devil's advocate,Advogado do diabo,Solicitor General,67,53,590,628,648,591,370,2947
burst your bubble,Desabafe.,Unloads.,67,53,528,649,701,675,403,3076
all eyes on you,Tudo nos seus olhos.,"""Everything in your eyes.""",53,53,434,488,486,304,225,2043
a skeleton in the closet,Um segredo guardado.,A secret kept.,53,53,466,629,583,356,259,2399
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,1,1,2,35,40,386,1,466
cool as a cucumber,Tanque como pepino.,Like a cucumber in a tank.,45,53,339,553,528,628,300,2446
He took the bus to work.,Ele pegou o ônibus para o trabalho.,He took the bus to work.,1,1,3,51,72,160,1,289
as easy as pie,Como se fosse uma tira de bolo,As easy as pie.,1,53,138,57,113,536,16,914
butterfly effect,Efeito mariposa,Butterfly effect,1,53,5,261,286,262,1,869
They watched a TV show in the evening.,Eles assistiram a um programa de TV à noite.,They watched a TV program at night.,37,47,100,292,293,232,1,1002
She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,She is brushing her teeth before going to sleep.,19,23,168,271,228,93,1,803
blown out of the water,Fechado para discussão.,Closed for discussion.,67,53,575,520,602,365,404,2586
He is feeding his pet hamster.,Ele está alimentando seu hamster de estimação.,He is feeding his pet hamster.,1,1,3,89,41,235,1,371
I like to drink coffee in the morning.,Gosto de beber café pela manhã.,I like to drink coffee in the morning.,1,1,3,63,27,34,1,130
"another day, another dollar","Outra dia, outro dólar.","Another day, another dollar.",1,26,159,139,124,257,1,707
actions speak louder than words,As ações falam mais alto que as palavras.,Actions speak louder than words.,1,26,109,20,114,29,1,300
climbing up the ladder,Subir degraus na carreira.,Climbing the corporate ladder.,19,53,330,427,430,535,198,1992
early bird catches the worm,O pássaro madrugador pega a minhoca.,The early bird catches the worm.,5,15,119,194,345,529,154,1361
She is baking cookies in the kitchen.,Ela está fazendo biscoitos na cozinha.,She is baking cookies in the kitchen.,1,1,5,67,61,86,1,222
bleeding heart,Coração sangrento,Bloody Heart,38,53,253,346,545,242,32,1509
