ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Açoitar,"""To whip""",40,54,429,673,593,614,393,2796
blow off steam,Descarregar tensão,Relieve tension,60,54,385,487,522,369,130,2007
let the cat out of the bag,Deixe o gato sair da bolsa.,Let the cat out of the bag.,1,14,75,26,188,137,1,442
They are riding bicycles in the neighborhood.,Estão pedalando bicicletas no bairro.,People are riding bicycles in the neighborhood.,9,4,57,281,266,439,1,1057
He likes to watch movies in his free time.,Ele gosta de assistir a filmes no seu tempo livre.,He likes to watch movies in his free time.,1,1,2,105,14,173,1,297
She enjoys painting in her free time.,Ela gosta de pintar em seu tempo livre.,She enjoys painting in her free time.,1,1,2,117,17,93,1,232
bite off more than you can chew,Morde mais do que pode mastigar,"""Bite off more than you can chew""",1,25,129,213,421,693,293,1775
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,1,54,157,11,157,5,1,386
dime a dozen,'Dois centavos'.,Two cents.,60,54,478,593,666,574,317,2742
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,2,83,31,91,1,210
leave no stone unturned,Não deixar pedra sobre pedra,Leave no stone unturned.,1,54,62,7,183,550,27,884
hold the fort,Mantenha a posição,"""Keep your position""",60,54,477,589,564,499,278,2521
He is putting the groceries away.,Ele está guardando os mantimentos.,He is stocking up on supplies.,44,54,279,376,616,470,142,1981
fit as a fiddle,Perfeito como um violino.,"""Perfect as a violin.""",34,54,340,486,486,358,238,1996
an iron fist,mão de ferro,Iron hand,40,54,255,440,520,62,172,1543
beggars can’t be choosers,Mendigos não podem escolher.,Beggars can't choose.,22,54,258,416,434,486,49,1719
card up your sleeve,A man with something up his sleeve.,A man with something up his sleeve,42,54,402,604,525,712,169,2508
beating around the bush,Circumlocução,Circularity,60,54,536,681,696,468,387,2882
She is giving a speech at the conference.,Ela está fazendo uma palestra na conferência.,She is giving a lecture at the conference.,8,23,29,308,291,359,38,1056
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,2,104,80,589,12,789
ace up your sleeve,Pode-se ter um ás na manga,One can have an ace up the sleeve.,34,54,381,518,610,398,134,2129
an open book,livro aberto,open book,13,54,154,372,222,280,78,1173
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is giving a presentation at work.,1,1,2,100,77,135,1,317
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,2,121,47,354,1,527
color outside the lines,Pintar fora das linhas,"""Paint outside the lines""",16,54,264,473,452,403,100,1762
easy as pie,Fácil como um bolo.,"""Easy as pie.""",1,54,303,280,284,529,11,1462
