ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,"Dar chicotadas.
",To whip (someone) into shape.,1,65,52,575,542,612,667,595,3108
blow off steam,"Desabafar
",To unburden oneself.,1,80,52,586,507,589,486,561,2861
let the cat out of the bag,"Revelar o segredo.
",Unveil the secret.,1,69,52,595,599,522,217,375,2429
They are riding bicycles in the neighborhood.,"Estão pedalando pela vizinhança.
",They're cycling through the neighborhood.,0,44,52,258,242,258,165,34,1053
He likes to watch movies in his free time.,"Ele se delicia com filmes nos tempos livres.
",He feasts on films in his free time.,0,34,29,170,265,207,302,219,1226
She enjoys painting in her free time.,"Ela se entrega à pintura nos intervalos da vida.
",She surrenders to the canvas between the brushstrokes of life.,0,79,52,543,568,613,626,609,3090
bite off more than you can chew,"Morder mais do que a boca.
",Bite off more than one can chew.,1,8,52,224,180,236,523,387,1610
my hands are tied,"Estou de mãos atadas.
",My hands are tied.,1,1,52,141,15,30,89,12,340
dime a dozen,"À dime a dúzia.
",A dime a dozen.,1,8,52,251,194,274,608,243,1630
They are having a picnic in the park.,"Estão fazendo um piquenique na vida.
",They're having a picnic in life.,0,27,41,353,503,388,225,456,1993
leave no stone unturned,"Não deixar pedra sobre pedra.
",To leave no stone unturned.,1,5,19,137,183,112,282,172,910
hold the fort,"Guarde a posição.
",Hold the fort.,1,1,52,136,98,53,474,68,882
He is putting the groceries away.,"Ele está guardando as provisões.
",He's hoarding his resources.,0,72,52,413,434,576,235,445,2227
fit as a fiddle,"Em plena forma.
",In tip-top shape.,1,80,52,626,615,477,447,193,2490
an iron fist,"Punho de ferro
",Iron fist.,1,13,52,339,214,245,46,58,967
beggars can’t be choosers,"A quem não tem cão, caça com gato.
",Beggars can't be choosers.,1,1,52,150,91,248,674,466,1682
card up your sleeve,"Trunfo na manga.
",Ace in the hole,1,80,52,593,478,639,370,544,2756
beating around the bush,"Ficar de rodeios.
",To beat around the bush.,1,28,52,194,233,300,644,516,1967
She is giving a speech at the conference.,"Ela está soltando a voz na conferência.
",She's letting her voice soar at the conference.,0,43,45,359,404,474,411,393,2129
She wrote a report for work.,"Ela botou um tijolo no trabalho.
",She dropped a brick at work.,0,41,52,402,608,517,266,482,2368
ace up your sleeve,"Um trunfo na manga
",An ace in the hole,1,66,52,553,383,633,325,450,2462
an open book,"Um livro aberto.
",An open book.,1,1,52,131,43,5,49,1,282
She is giving a presentation at work.,"Ela está no palco no trabalho.
",She's on the stage at work.,0,47,52,334,269,372,280,96,1450
He went to a birthday party last night.,"Ele foi à festa de aniversário ontem à noite.
",He painted the town red last night.,0,51,52,401,536,542,673,651,2906
color outside the lines,"Colorir fora das linhas.
",Think outside the box.,1,41,52,485,573,336,289,254,2030
easy as pie,"Moleza.
",Sweetness.,1,80,52,653,485,441,595,514,2820
blind as a bat,"Cego como um morcego.
",Blind as a bat.,1,1,52,88,5,141,330,145,762
change of heart,"Mudar de ideia.
",To change one's tune.,1,65,52,576,560,569,177,183,2182
food for thought,"Comida para a mente.
",Food for thought.,1,1,52,180,77,38,67,30,445
black as night,"Negro como a noite.
",Black as night.,1,1,52,125,63,3,263,18,525
a chip on your shoulder,"Estar com a pulga atrás da orelha.
",To have a flea in one's ear.,1,74,52,510,587,565,173,566,2527
close to my heart,"Perto do meu coração.
",Near and dear to my heart.,1,33,52,343,263,333,329,161,1514
apple of my eye,"Menina dos meus olhos
",Apple of my eye,1,1,52,2,72,116,522,298,1063
get the show on the road,"Botar a mão na massa!
",Roll up your sleeves!,1,80,52,644,623,647,212,500,2758
easy as pie,"Moleza.
",Easy peasy.,1,50,52,534,548,344,585,147,2260
back to square one,"Voltar à estaca zero.
",To go back to square one.,1,13,30,271,208,179,215,240,1156
devil's advocate,"Advogado do Diabo.
",Devil's Advocate,1,1,52,2,112,265,107,136,675
She went to the library to study.,"Ela foi à biblioteca para afiar o machado.
",She went to the library to sharpen her axe.,0,18,16,254,392,434,81,391,1586
fit as a fiddle,"Em plena forma.
",In fine fettle.,1,80,52,589,622,587,397,368,2695
They went to the theater to watch a play.,"Foram ao teatro para testemunhar a encenação da vida.
",They went to the theater to watch life take the stage.,0,25,17,138,345,307,393,485,1710
falling through the cracks,"Cair no esquecimento.
",Fade into oblivion.,1,80,52,557,336,583,222,384,2214
She made breakfast for the family.,"Ela botou o sol na mesa para a família.
",She brought the sunshine to the table for the family.,0,41,48,294,514,417,413,475,2202
She is talking on the phone.,"Ela está no fio.
",She's on a tightrope.,0,55,52,488,591,598,193,617,2594
all bark and no bite,"Cão que ladra não morde.
",Barking dogs seldom bite.,1,66,52,532,382,315,240,342,1929
apple of discord,"Maçã da discórdia
",Apple of discord,1,1,52,2,85,73,541,184,938
spill the beans,"Abrir o bico
",To open your beak,1,80,52,571,675,624,455,547,3004
burn your bridges,"Queimar os navios.
",Burn the boats.,1,58,52,453,472,352,116,70,1573
I need to buy groceries this afternoon.,"Preciso pescar mantimentos esta tarde.
",I need to reel in some groceries this afternoon.,0,18,32,85,268,295,550,331,1579
as bold as brass,"Descarado como uma porta.
",As bold as brass.,1,1,52,86,54,84,611,438,1326
close to the vest,"Guardar segredo.
",Keep a lid on it.,1,80,52,583,501,500,174,199,2089
blood is thicker than water,"Sangue do meu sangue.
",Blood of my blood.,1,66,52,507,642,546,190,619,2622
back to the drawing board,"Voltar à estaca zero
",Back to square one.,1,45,52,449,288,386,28,189,1437
She went to the post office to send a package.,"Ela foi aos correios despachar um pedaço de saudade.
",She went to the post office to mail a piece of longing.,0,22,20,90,362,326,256,484,1560
as right as rain,"Em dia.
",On top of things.,1,80,52,650,595,586,587,644,3194
He is planning his day ahead.,"Ele está traçando o mapa do seu dia.
",He's charting the course of his day.,0,47,52,325,284,286,261,217,1472
She took a shower in the morning.,"Ela se lavou com a aurora.
",She bathed in the dawn.,0,41,52,430,332,432,563,284,2134
best of both worlds,"O melhor dos dois mundos.
",The best of both worlds.,1,5,19,234,89,12,41,1,401
antsy as a cat on a hot tin roof,"Aflito como gato em brasa.
",Like a cat on a hot tin roof.,1,10,6,209,337,290,623,376,1851
He is building a model airplane.,"Ele está arquitetando um voo.
",He's plotting an escape.,0,72,52,445,618,459,399,585,2630
devil's advocate,"Advogado do Diabo.
",Devil's Advocate,1,1,52,2,112,265,107,136,675
burst your bubble,"Furar a bolha
",Pop the bubble,1,58,52,375,272,325,354,179,1615
all eyes on you,"Todos os olhos em você.
",All eyes are on you.,1,5,52,212,87,79,123,1,559
a skeleton in the closet,"Esqueleto no armário.
",Skeleton in the closet.,1,5,52,228,198,157,58,228,926
He is attending a business meeting.,"Ele está na arena dos negócios.
",He's in the game.,0,72,52,487,565,557,514,612,2859
cool as a cucumber,"Calmo como um pepino.
",Cool as a cucumber.,1,1,52,26,67,159,74,91,470
He took the bus to work.,"Ele pegou o busão para o trabalho.
",He hopped on the iron horse to work.,0,36,52,297,474,453,576,599,2487
as easy as pie,"Moleza.
",A piece of cake.,1,80,52,631,552,481,656,355,2807
butterfly effect,"Efeito borboleta.
",Butterfly effect.,1,1,52,151,155,144,122,1,626
They watched a TV show in the evening.,"Eles se debruçaram sobre a telinha ao cair da tarde.
",They leaned into the screen as the day slipped away.,0,66,52,478,564,534,372,590,2656
She is brushing her teeth before bed.,"Ela está preparando a noite para dormir.
",She is tucking the night in.,0,60,52,454,540,686,572,633,2997
blown out of the water,"Afogado em argumentos.
",Drowning in arguments.,1,80,52,545,561,530,533,413,2714
He is feeding his pet hamster.,"Ele está pondo comida no cofrinho do hamster.
",He's fattening the hamster's savings account.,0,61,52,368,481,503,524,538,2527
I like to drink coffee in the morning.,"Afogo minhas mágoas no café da manhã.
",I drown my sorrows in breakfast.,0,61,52,476,497,649,201,549,2485
"another day, another dollar","Mais um dia, mais um trocado.
","Another day, another dime.",1,18,52,230,254,237,293,209,1293
actions speak louder than words,"Ações valem mais que palavras.
",Actions speak louder than words.,1,1,19,54,28,9,9,1,121
climbing up the ladder,"Subindo na vida.
",Climbing the ladder.,1,8,52,203,160,226,564,174,1387
early bird catches the worm,"Deus ajuda quem cedo madruga.
",The early bird catches the worm.,1,4,12,72,124,188,583,396,1379
She is baking cookies in the kitchen.,"Ela está fabricando felicidade na cozinha.
",She's whipping up happiness in the kitchen.,0,40,39,257,422,384,88,457,1687
bleeding heart,"Coração mole.
",Soft-hearted.,1,80,52,638,570,611,206,534,2691
She is cleaning the kitchen after dinner.,"Ela está lavando a alma da cozinha depois do jantar.
",She's washing the soul out of the kitchen after dinner.,0,38,38,171,376,494,494,527,2138
She is drinking water.,"Ela está matando a sede.
",She's quenching her thirst.,0,66,52,472,367,495,253,163,1868
They are having coffee at the café.,"Estão a tomar um café no ninho da conversa.
",They're perched in the nest of gossip.,0,63,52,481,574,628,654,648,3100
hard pill to swallow,"Um osso duro de roer.
",A tough nut to crack.,1,66,52,436,438,550,301,283,2126
a slap on the wrist,"Uma palmada na mão.
",A slap on the wrist.,1,1,19,40,7,96,50,72,285
They are visiting a museum this afternoon.,"Eles vão passear nos olhos da tarde por um museu.
",They will stroll through the afternoon's eyes at a museum.,0,59,52,335,499,510,516,551,2522
They are swimming at the pool.,"Eles estão nadando na piscina.
",They're swimming in the deep end.,0,44,52,351,442,438,446,414,2187
cat on a hot tin roof,"Gata em Telhado de Zinco Quente
",Cat on a Hot Tin Roof,1,1,52,2,125,222,208,221,831
She is talking to her friend on the phone.,"Ela está tecendo confidências ao telefone.
",She's spinning secrets on the phone.,0,41,46,320,453,499,458,511,2328
He is walking his dog in the park.,"Ele passeia com a coleira do cão no parque.
",He walks the dog's leash in the park.,0,34,43,195,377,460,430,421,1960
add fuel to the fire,"Botar mais lenha na fogueira.
",To add fuel to the fire.,1,4,12,177,157,109,91,148,698
in hot water,"Estar em maus lençóis.
",To be in a tight spot.,1,67,52,599,626,689,472,592,3097
boiling point,"Ponto de ebulição
",Boiling point,1,1,52,2,137,6,78,1,277
beat a dead horse,"Bater em cachorro morto.
",Beat a dead horse.,1,1,52,76,83,111,536,108,967
blind alley,"Saída sem saída.
",Dead end.,1,80,52,544,426,466,546,508,2622
cutting corners,"Fazer gato e sapato.
",To make a cat's paw of someone.,1,80,52,648,682,697,665,652,3476
actions speak louder than words,"A prática é a prova.
",The proof of the pudding is in the eating.,1,80,52,613,640,638,615,654,3292
chip on the shoulder,"Complexo de inferioridade.
",Inferiority complex.,1,80,52,666,441,670,18,371,2298
He washed his car yesterday.,"Ontem ele deu um trato no possante.
","Yesterday, he gave his ride a makeover.",0,58,52,370,427,518,520,327,2272
cold as ice,"Frio como pedra.
",Cold as stone.,1,27,52,321,305,155,198,75,1133
He is attending a wedding.,"Ele está de copo cheio.
",He's feeling no pain.,0,68,52,489,627,654,625,638,3153
He is making a cup of coffee.,"Ele está botando o bule pra chiar.
",He's stirring up trouble.,0,73,52,442,597,588,571,603,2926
chasing shadows,"Correndo atrás de fantasmas.
",Chasing ghosts.,1,41,52,365,237,282,147,142,1266
feast your eyes,"Aproveite o banquete visual!
",Feast your eyes!,1,1,52,139,97,13,424,131,857
a diamond in the rough,"Diamante bruto.
",Rough diamond.,1,61,52,433,366,370,61,350,1693
He is having breakfast with his family.,"Ele está dividindo o pão com a família.
",He's breaking bread with the family.,0,47,52,281,437,321,313,195,1646
blind as a bat,"Cego como um morcego.
",Blind as a bat.,1,1,52,88,5,142,330,146,764
light at the end of the tunnel,"Luz no fim do túnel.
",Light at the end of the tunnel.,1,1,9,28,132,41,8,1,220
as old as the hills,"Velho como a Sé.
",Old as the hills.,1,5,52,260,193,168,336,194,1208
break the ice,"Quebrar o gelo
",Break the ice,1,1,52,2,122,37,53,1,268
He went for a jog in the morning.,"Ele foi dar uma corridinha pela manhã.
",He went for a morning jog.,0,23,37,75,197,40,161,141,674
finding your feet,"Encontrar o seu chão.
",Find your footing.,1,58,52,322,199,203,249,140,1223
give someone a run for their money,"Dar trabalho.
",To be a handful.,1,71,52,604,646,681,627,628,3309
have a bone to pick,"Ter algo a reclamar.
",To have a bone to pick.,1,4,12,200,189,229,416,329,1379
barking up the wrong tree,"Cachorro que late para a árvore errada.
",Barking up the wrong tree.,1,1,19,42,65,105,657,333,1222
He enjoyed a cup of coffee in the morning.,"Ele tomou um gole de sol pela manhã.
",He took a swig of sunshine in the morning.,0,27,44,229,414,379,327,523,1943
ball is in your court,"A bola está em seu campo.
",The ball is in your court.,1,4,12,164,36,19,127,15,377
