frases_ingles,metrica,modelo,score
They are riding bicycles in the neighborhood.,ROUGE,gemini,0.8571428571428571
They are riding bicycles in the neighborhood.,BLEU,gemini,0.5
They are riding bicycles in the neighborhood.,BERTSCORE,gemini,0.9926744699478149
They are riding bicycles in the neighborhood.,BLEURT,gemini,1.0651298761367798
They are riding bicycles in the neighborhood.,COMET22,gemini,0.9516188502311707
They are riding bicycles in the neighborhood.,KIWI-XL,gemini,1.0069786310195923
They are riding bicycles in the neighborhood.,XCOMET-XL,gemini,1.0
They are riding bicycles in the neighborhood.,ROUGE,gemma3,0.7999999999999999
They are riding bicycles in the neighborhood.,BLEU,gemma3,0.43167001068522526
They are riding bicycles in the neighborhood.,BERTSCORE,gemma3,0.969881534576416
They are riding bicycles in the neighborhood.,BLEURT,gemma3,0.9963711500167847
They are riding bicycles in the neighborhood.,COMET22,gemma3,0.9208621382713318
They are riding bicycles in the neighborhood.,KIWI-XL,gemma3,0.9747677445411682
They are riding bicycles in the neighborhood.,XCOMET-XL,gemma3,1.0
They are riding bicycles in the neighborhood.,ROUGE,gemmaX,0.5714285714285714
They are riding bicycles in the neighborhood.,BLEU,gemmaX,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,gemmaX,0.9290297627449036
They are riding bicycles in the neighborhood.,BLEURT,gemmaX,0.8574142456054688
They are riding bicycles in the neighborhood.,COMET22,gemmaX,0.9359807372093201
They are riding bicycles in the neighborhood.,KIWI-XL,gemmaX,0.9791420698165894
They are riding bicycles in the neighborhood.,XCOMET-XL,gemmaX,1.0
They are riding bicycles in the neighborhood.,ROUGE,gpt,0.7692307692307692
They are riding bicycles in the neighborhood.,BLEU,gpt,0.42383656282787796
They are riding bicycles in the neighborhood.,BERTSCORE,gpt,0.9392608404159546
They are riding bicycles in the neighborhood.,BLEURT,gpt,0.6179652214050293
They are riding bicycles in the neighborhood.,COMET22,gpt,0.9000383019447327
They are riding bicycles in the neighborhood.,KIWI-XL,gpt,0.9612760543823242
They are riding bicycles in the neighborhood.,XCOMET-XL,gpt,0.9903555512428284
They are riding bicycles in the neighborhood.,ROUGE,llama,0.7142857142857143
They are riding bicycles in the neighborhood.,BLEU,llama,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,llama,0.9699209928512573
They are riding bicycles in the neighborhood.,BLEURT,llama,0.7884030342102051
They are riding bicycles in the neighborhood.,COMET22,llama,0.9402755498886108
They are riding bicycles in the neighborhood.,KIWI-XL,llama,0.710552453994751
They are riding bicycles in the neighborhood.,XCOMET-XL,llama,0.9963771104812622
They are riding bicycles in the neighborhood.,ROUGE,marian,0.6666666666666666
They are riding bicycles in the neighborhood.,BLEU,marian,0.3655552228545123
They are riding bicycles in the neighborhood.,BERTSCORE,marian,0.9304046034812927
They are riding bicycles in the neighborhood.,BLEURT,marian,0.7861441373825073
They are riding bicycles in the neighborhood.,COMET22,marian,0.8786892890930176
They are riding bicycles in the neighborhood.,KIWI-XL,marian,0.9796782732009888
They are riding bicycles in the neighborhood.,XCOMET-XL,marian,0.986945390701294
They are riding bicycles in the neighborhood.,ROUGE,meta,0.125
They are riding bicycles in the neighborhood.,BLEU,meta,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,meta,0.8177641034126282
They are riding bicycles in the neighborhood.,BLEURT,meta,0.11004762351512909
They are riding bicycles in the neighborhood.,COMET22,meta,0.7464099526405334
They are riding bicycles in the neighborhood.,KIWI-XL,meta,0.7148163318634033
They are riding bicycles in the neighborhood.,XCOMET-XL,meta,0.9617582559585571
They are riding bicycles in the neighborhood.,ROUGE,mistral,0.8571428571428571
They are riding bicycles in the neighborhood.,BLEU,mistral,0.5
They are riding bicycles in the neighborhood.,BERTSCORE,mistral,0.9926744699478149
They are riding bicycles in the neighborhood.,BLEURT,mistral,1.0651298761367798
They are riding bicycles in the neighborhood.,COMET22,mistral,0.9472103118896484
They are riding bicycles in the neighborhood.,KIWI-XL,mistral,0.9042007923126221
They are riding bicycles in the neighborhood.,XCOMET-XL,mistral,1.0
They are riding bicycles in the neighborhood.,ROUGE,qwen,0.8571428571428571
They are riding bicycles in the neighborhood.,BLEU,qwen,0.5946035575013605
They are riding bicycles in the neighborhood.,BERTSCORE,qwen,0.9709784984588623
They are riding bicycles in the neighborhood.,BLEURT,qwen,0.3384813666343689
They are riding bicycles in the neighborhood.,COMET22,qwen,0.6529449820518494
They are riding bicycles in the neighborhood.,KIWI-XL,qwen,0.7551690340042114
They are riding bicycles in the neighborhood.,XCOMET-XL,qwen,0.9051544666290283
He likes to watch movies in his free time.,ROUGE,gemini,1.0
He likes to watch movies in his free time.,BLEU,gemini,1.0
He likes to watch movies in his free time.,BERTSCORE,gemini,1.0
He likes to watch movies in his free time.,BLEURT,gemini,1.074525237083435
He likes to watch movies in his free time.,COMET22,gemini,0.981873095035553
He likes to watch movies in his free time.,KIWI-XL,gemini,1.0615216493606567
He likes to watch movies in his free time.,XCOMET-XL,gemini,1.0
He likes to watch movies in his free time.,ROUGE,gemma3,0.7058823529411765
He likes to watch movies in his free time.,BLEU,gemma3,0.5462757644646491
He likes to watch movies in his free time.,BERTSCORE,gemma3,0.9736216068267822
He likes to watch movies in his free time.,BLEURT,gemma3,0.9368045330047607
He likes to watch movies in his free time.,COMET22,gemma3,0.9660385251045227
He likes to watch movies in his free time.,KIWI-XL,gemma3,1.0345391035079956
He likes to watch movies in his free time.,XCOMET-XL,gemma3,1.0
He likes to watch movies in his free time.,ROUGE,gemmaX,1.0
He likes to watch movies in his free time.,BLEU,gemmaX,1.0
He likes to watch movies in his free time.,BERTSCORE,gemmaX,1.0
He likes to watch movies in his free time.,BLEURT,gemmaX,1.074525237083435
He likes to watch movies in his free time.,COMET22,gemmaX,0.981781542301178
He likes to watch movies in his free time.,KIWI-XL,gemmaX,1.0540351867675781
He likes to watch movies in his free time.,XCOMET-XL,gemmaX,1.0
He likes to watch movies in his free time.,ROUGE,gpt,1.0
He likes to watch movies in his free time.,BLEU,gpt,1.0
He likes to watch movies in his free time.,BERTSCORE,gpt,1.0
He likes to watch movies in his free time.,BLEURT,gpt,1.074525237083435
He likes to watch movies in his free time.,COMET22,gpt,0.9820460677146912
He likes to watch movies in his free time.,KIWI-XL,gpt,1.0404034852981567
He likes to watch movies in his free time.,XCOMET-XL,gpt,1.0
He likes to watch movies in his free time.,ROUGE,llama,1.0
He likes to watch movies in his free time.,BLEU,llama,1.0
He likes to watch movies in his free time.,BERTSCORE,llama,1.0
He likes to watch movies in his free time.,BLEURT,llama,1.074525237083435
He likes to watch movies in his free time.,COMET22,llama,0.9814379811286926
He likes to watch movies in his free time.,KIWI-XL,llama,1.0474203824996948
He likes to watch movies in his free time.,XCOMET-XL,llama,1.0
