frase,score
She is drinking water.,129
She is listening to music while cooking.,144
I like to drink coffee in the morning.,172
She is brushing her teeth before bed.,183
I am playing video games in my room.,190
She is talking on the phone.,203
He is reading a newspaper.,224
He washed his car yesterday.,245
She plays the piano beautifully.,246
They watched a movie on the weekend.,256
She made a salad for lunch.,256
He is making tea in the kitchen.,270
I visited my parents last weekend.,279
He is writing an essay for school.,280
They are visiting a museum this afternoon.,281
"blood, sweat, and tears",303
cold as ice,304
They are making pizza together.,305
a fish out of water,305
She is arranging flowers in a vase.,307
They are having a picnic in the park.,308
He likes to watch movies in his free time.,314
I met my friends for lunch.,320
The sun rises in the east.,324
They planted flowers in the garden.,328
I called my friend last night.,332
a ray of hope,334
She is cleaning the kitchen after dinner.,341
He took the bus to work.,349
He is building a model airplane.,353
He is having breakfast with his family.,355
She is talking to her friend on the phone.,356
He read a book before bed.,356
She works as a software engineer.,357
He is working on his laptop.,363
They are going to the cinema tonight.,368
She is giving a presentation at work.,370
an open book,384
He went fishing with his friends.,391
He wrote a letter to his friend.,396
fingers crossed,397
He called his parents yesterday.,399
He is playing the guitar in the living room.,401
They are painting the walls of their house.,404
They cleaned the house on Saturday.,408
I need to buy groceries this afternoon.,422
She is packing her suitcase for a trip.,426
She played cards with her friends.,427
He is sitting on the chair.,434
She is playing with her children in the garden.,441
all in the same boat,443
She attended a conference last week.,446
He is feeding his pet hamster.,454
She made breakfast for the family.,463
He is attending a business meeting.,478
She bought a new phone last week.,504
She is preparing dinner for the guests.,505
"hope for the best, prepare for the worst",507
He is drawing in his sketchbook.,507
light at the end of the tunnel,509
She is gardening in the backyard.,523
She went to the post office to send a package.,527
He is making a cup of coffee.,531
food for thought,537
a penny for your thoughts,539
He went to a birthday party last night.,542
all eyes on you,543
cloud of suspicion,579
a sinking ship,583
"if you can't stand the heat, get out of the kitchen",586
She went to the library to study.,588
back to square one,591
best of both worlds,596
a heart of gold,596
She had a cup of soup for lunch.,601
as easy as pie,603
She is watching the sunset from the balcony.,603
He visited his grandmother in the hospital.,603
They are practicing their dance routine.,605
boiling point,617
She danced at the party last night.,617
He went to the gym to lift weights.,625
