frase,ranking_total,quartil
Tesla installs world’s largest lithium-ion battery in South Australia,9599,Q1_melhor
Simona Halep reaches 2nd round of the 2017 Citi Open in Washington,16194,Q1_melhor
Nigerian Christian: “Why do they think Islam is a religion of peace? These people have been killing us for decades.”,16974,Q1_melhor
"Samsung might launch Galaxy S9 in January 2018, based on the assembly schedule",17498,Q1_melhor
NEO – Saudi Arabia and Israel replace Syria with Lebanon as their next victim,17700,Q1_melhor
Chick-fil-A is offering a free breakfast the entire month of September,18268,Q1_melhor
What Did Hillary Clinton Know and When Did She Know It?,22751,Q1_melhor
Newt Gingrich: Mueller's Law Firm Gave 99.81% of its Campaign Contributions to Hillary Clinton (VIDEO),25605,Q1_melhor
The NFL Might Be Changing Their Policy On Marijuana,27655,Q1_melhor
Egypt isn’t the country with the most Pyramids in the world—Sudan has more than 250,28037,Q1_melhor
Jax Taylor debuts Mrs. Taylor on Instagram during visit to Florida,28869,Q1_melhor
What Would You Do If Satanists Erected a Giant Pentagram in Your Local Park?,28909,Q1_melhor
Half A Billion Fewer Animals Were Killed Since 2007 Because People Are Eating Less Meat,29859,Q1_melhor
India is building an Israel-developed fence along its Pakistan border,29918,Q1_melhor
UN Health Agency: Measles Has Killed 35 Children in Europe,32374,Q1_melhor
Iran’s President Rouhani accuses US of undermining nuclear deal,32388,Q1_melhor
Google Home Mini affected with bug that records conversations,33090,Q1_melhor
Trump Just Named Five New Possible Supreme Court Nominees,35723,Q1_melhor
Lott: Democrats keep guns out of poor people’s hands,36281,Q1_melhor
How Russia recruited wannabe YouTube stars to convince Black Lives Matter activists to vote for Trump,36630,Q1_melhor
Photogallery - NBA: How will Kyrie Irving do now that he has his own team?,38781,Q1_melhor
CBS News: Congress Wants Phone Records of Trump Jr.-Russia Meeting,40487,Q1_melhor
"If You Don’t Trust People, Then You Shouldn’t Trust Politics",40569,Q1_melhor
Sprint rolling out update for BlackBerry KEYone devices on its network,40781,Q1_melhor
Why is the GOP desperate to pass this terrible healthcare bill? The Koch brothers threatened them,41369,Q1_melhor
Missouri Man Faces Terrorism Charges for Attempted Train Hijacking,41987,Q2
"Voters oppose Trump's air traffic control privatization plan, poll finds",43063,Q2
ACLU take offensive measures against Trump's voting fraud claims,43198,Q2
‘No innocent explanation for this’: Kurt Eichenwald exposes reasons for Kushner meeting with Russian bankers,43349,Q2
U.S. Airstrikes in Afghanistan Take Aim at Taliban Opium Labs,43479,Q2
Novak Djokovic Criticizes Wimbledon Officials After His Match Is Delayed,43599,Q2
A rebel shell kills 6 in Damascus shortly after Assad’s “victory” speech,44900,Q2
Cleveland Cavaliers news: Several teams want Shumpert but under one condition,45999,Q2
"I didn't want her to be blindsided, so I leaked the debate questions to Hillary ahead of the debate!",46830,Q2
House Republicans Release Secret Memo Accusing Russia Investigators of Bias,47183,Q2
LaVar Ball starting to criticize Lakers coach Luke Walton,47803,Q2
"Pokemon the Movie: I Choose You,' Ash and his pokemon Pikachu is back.",47868,Q2
Republicans Want Trump And Corker To Please SHUT UP,48564,Q2
Ex-Trump adviser dismisses church massacre: Why don’t we talk about the things the world cares about?,48633,Q2
US military has been covering up civilian death counts from its bombing raids.,50179,Q2
Senate Officially Investigating Al Franken Due To Claims of Improper Behavior Toward Women,50184,Q2
Last year Trump stood at the podium and encouraged a white nationalist leader assaulting a protester,50782,Q2
NSA quietly removes ‘honesty’ from its stated ‘core values’,52143,Q2
"Eagle Imports, Inc., Brings the Llama Micro Max to American Shores",52509,Q2
Pope hopes Trump will ‘rethink’ DACA decision on pro-life grounds,52864,Q2
Actress Marla Adams shows her amazing range on 'The Young and the Restless',54098,Q2
"A fourth woman has come forward to say George H.W. Bush groped her, this time during a 2006 photo op",55373,Q2
University Clinic Teaches Transgender People How To Speak With Voices To Fit Their Gender Choice,55470,Q2
‘The Originals’ Season 5: Why did Paul Wesley refuse to do the crossover?,55728,Q2
18 states are suing Betsy DeVos for putting for-profit college fraudsters over student borrowers,56380,Q2
After 72 Years the Sea Finally Gives Up This Historic Shipwreck (VIDEO),56971,Q3
BREAKING: Senate Announces Deal To Reopen Government – What About DACA?,58184,Q3
How Sam Shepard Hit Downtown New York and Reinvented Himself,58416,Q3
Donald Trump Jr.'s mobster-lawyer wants you to know there's nothing to see here,58624,Q3
"Republicans cut to Student Tax Break means, “the end of research in the United States.”",58685,Q3
How Can We Fix The CFPB? Shut It Down,58943,Q3
Hedge Funds Pouring Cash into Silver and Gold! (Video),60023,Q3
ELEY Makes Significant Investment in Competition Segment Within the USA,61523,Q3
Police Found Hundreds Of Shell Casings At Scene Of Texas Shooting,62568,Q3
President Trump rescinds DACA mostly on false pretenses that are obvious,62753,Q3
"Increased Prevalence of Cancer to Drive the Growth of Bone Marrow Transplant Market in Future, according to Research Nester",63081,Q3
How the Obama Administration Bypassed Congress to Grant De Facto Amnesty to Young Illegals,63155,Q3
Activists Name Public Toilet After Interior Secretary Ryan Zinke in Protest,63803,Q3
"As Texas reels from Harvey, Trump may tear DACA from 120,000 immigrant youth in the state",63876,Q3
Wolff Said Trump Enacted Trans Military Ban for 'No Evident Reason'; But He's Wrong,65140,Q3
Morning Joe warns GOP to stop lying about ‘inhumane’ health care bill,65150,Q3
Teen Mom 2': Kailyn Lowry changing her son's last name amid custody drama?,65544,Q3
Photogallery - US Lawmakers set to question Trump campaign chairman,67205,Q3
White-Power Rock Bands Find Platform Online to Incite Hatred,67550,Q3
Lavar Ball Discusses His Son Getting Arrested In China,67881,Q3
Another 'Teen Mom OG' star takes aim at the show's 'fake' storylines,69571,Q3
