frase,score
There is no reason for the health insurance industry to exist,269
Bernie Sanders says Democrats are ready to help Republicans fix Obamacare,333
Trump spreads fake news about Obama in the Philippines,439
"""Mitch & Greg"" Explain Why You Should Never Have Kids",462
An IGA Supermarket in Montreal is growing its own vegetables on the roof,567
How US Tries to Link Iran to Al Qaeda,575
"""We need water."" A cry for help from our fellow citizens in Puerto Rico",586
Ed Sheeran says no one wants to see him back in 'Game of Thrones',612
Someone Made a Fake Equifax Site. Then Equifax Linked to It.,643
Can Dominic Thiem be considered a title contender at the 2017 US Open?,718
Los Angeles Philharmonic Finds Its Next Leader in Seattle,719
Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,732
Wimbledon: Roger Federer and Marin Cilic Reach the Final,753
Danielle Steel reveals that she writes six books per year.,764
President Donald J. Trump Accepts the Resignation of White House Press Secretary Sean Spicer,779
Jeff Sessions just put a military general in charge of our federal prison system,784
Fox News allegedly published a fake article in favor of Trump,851
Trump just spent $24 million on upgraded refrigeration for Air Force One,880
Did You Know These Details About the Democratic Party?,905
That became the basis for spying on the Trump campaign!,925
Tesla installs world’s largest lithium-ion battery in South Australia,943
Senate Tax Reform Plan Fails to Protect American Family Businesses,965
Addie Zinone says that she had an affair with Matt Lauer 16 years ago,969
Return to Uzbekistan Could Mean Death for Gay Reporter in Russia,981
Will planetary protection stop humans from going to Mars?,994
Chris Bosh says LeBron and Wade can win another title together,999
"Michael Flynn's family sets up a legal defense fund for Flynn, but not his son",1005
"How Vietnam dramatically changed our views on soldiers, honor and war",1039
Researchers Restore Consciousness In Man Who Spent 15 Years In Vegetative State,1096
Here are 10 times white people falsely accused innocent people of color of crimes they didn’t commit,1136
"More than a week later, we still don't know who joined the conspiracy at Trump Tower",1151
Shane Larkin can revive his career with the Boston Celtics,1177
Did they think we wouldn't notice? Senate Republicans exempt themselves from parts of Trumpcare,1228
Harvey Weinstein loses The Weinstein Company amid sexual assault allegations,1254
"""I'm not rich,"" said the lawyer to the nurse, ""so we don't need campaign finance reform.""",1283
Red Star/White Star: Why the Lockheed F-35 Should Fear Russia’s Su-35,1307
"""Indictment Weekend"" claims its first victim: Roger Stone banned from Twitter",1312
Chick-fil-A is offering a free breakfast the entire month of September,1351
University of Missouri struggles to recruit students two years after protests about racial injustice,1373
Bernie Sanders Just Gave His Best Speech in 2 Years,1439
"With no explanation, Trump fired the entire Presidential Advisory Council on HIV",1440
What Can Tony Robbins Teach Us About Mass Shootings?,1465
The Pneumonic Plague Killed 50 Million People in the Middle Ages and Now It’s Back (VIDEO),1471
15-Minute Stand-Up Specials? Netflix Is Trying a New Format,1476
Metropolis at 90: You’ll Never See a Movie Like This Again,1487
‘30 Rock’ and ‘Friday Night Lights’ Are Leaving Netflix in October,1497
Sean Spicer and Chelsea Manning Join Harvard as Visiting Fellows,1500
How credit scoring by companies like Equifax reinforce racial and class inequality,1529
The Secret Service Will No Longer Protect These Trump Team Members,1530
"We Need the EMP Threat Commission, Now More Than Ever",1554
Cobie Smulders and Taran Killam Still Want to Leave Battery Park,1586
How the transgender crusade made me rethink my support for gay marriage,1649
Infographic Of The Day: How Tech Is Changing Our Food Systems,1655
Jared and Ivanka move personal email accounts to Trump Organization computers to avoid scrutiny,1667
VA-Sen: Tim Kaine (D) Refuses To Let Congress Help Trump Destroy The Iran Nuclear Deal,1679
Is the National Security Council becoming a national security threat?,1710
"Trump is losing 'friends,' but not losing Paul Ryan or Mitch McConnell",1736
Know Your Enemy: US considered most dangerous country globally (Video),1737
Vice Media’s Digital Chief Loses Job After Sexual Harassment Investigation,1748
Weiner emails create new troubles for Hillary Clinton (Video),1789
President Donald Trump kicks CNN reporter out of Oval Office,1822
The Democrats should spend some time with Camille Paglia this weekend,1823
"To Pay for Wall, Trump Would Cut Proven Border Security Measures",1853
Nord Stream 2 Pipeline Would Put European Stability at Risk,1872
Literally a few hours ago the world was in shock – George Soros was dead! He was found dead in the Burj al Arab hotel in Dubai. He was 87 years old.,1873
House Homeland Security Committee to hold hearings on white supremacy,1874
