frase,ranking_total,quartil
Tesla installs world’s largest lithium-ion battery in South Australia,10558,Q1_melhor
Sean Spicer and Chelsea Manning Join Harvard as Visiting Fellows,16690,Q1_melhor
Google Adds All South African National Parks to Street View,17266,Q1_melhor
"Trump is losing 'friends,' but not losing Paul Ryan or Mitch McConnell",17656,Q1_melhor
Netflix renews 'House of Cards' for the sixth and final season,17768,Q1_melhor
Saudi Arabia plans to lift driving ban on women,18644,Q1_melhor
How Rebecca Solnit Became the Voice of the Resistance,22883,Q1_melhor
Donna Brazile: Clinton Campaign Took Over DNC in August 2015.,25951,Q1_melhor
That became the basis for spying on the Trump campaign!,27570,Q1_melhor
Why Dylan O'Brien is taking on a new role,28193,Q1_melhor
"Turner Prize Goes to Lubaina Himid, Whose Work Depicts African Diaspora",28863,Q1_melhor
"Dear white women, there is nothing heroic about not having sex with Nazis",29012,Q1_melhor
"Americans don’t trust CNN, but believe Trump even less",30358,Q1_melhor
North Korea has launched six nuclear tests amidst growing UN concerns,30457,Q1_melhor
Healthcare Cloud Computing Market revenue will reach $$25.7 billion by 2024,32111,Q1_melhor
Even old Samsung phones are beating out the iPhone 8,32172,Q1_melhor
Prosecutors Want Anthony Weiner to Serve About 2 Years in Prison,32877,Q1_melhor
WATCH: Jim Acosta tries to get Sarah Huckabee Sanders to admit collusion with Russia,34964,Q1_melhor
The EU Must Not Threaten the Sovereignty of Poland,35662,Q1_melhor
President Trump defends Melania's fashion on her foreign visits,36044,Q1_melhor
The Elite Are Doing Their All To Ensure Americans Only Have Fake News,38457,Q1_melhor
Reporter Who Exposed BBC Child Abuse Cover Up Found Dead,40220,Q1_melhor
"America's Most Dangerous Politician, Kris Kobach, moves to redefine Democracy",40363,Q1_melhor
Novak Djokovic Criticizes Wimbledon Officials After His Match Is Delayed,40547,Q1_melhor
Growbots vs. Zenprospect: Which Lead Generation Tool Can Grow Your Business,41283,Q1_melhor
"For some victims, reporting a rape can bring doubt, abuse — and even prosecution",42067,Q2
Even Republicans assume Trump leaked Kislyak intercepts to force out Jeff Sessions,43177,Q2
CUNY professor says having “white nuclear family” promotes white supremacy,43419,Q2
Manafort Used Trump Campaign Email to Correspond With Ukrainian Contact,43591,Q2
I Am Not Bringing My Laptop on Vacation Next Year,43638,Q2
A reminder Stephen Miller once dumped a childhood friend because he was Latino,43938,Q2
We Don’t Meet Anyone by Accident – 5 Types of Cosmic Connections,45268,Q2
We Fought a War of Independence' Against King George for That,46512,Q2
"North Korea Fires a Ballistic Missile, in a Further Challenge to Trump",47498,Q2
Aroma Chemicals Market expected to reach US$6.57 bn by the end of 2024,47748,Q2
Big Government and Environmentalists Are Causing Massive Fires in Western States,48107,Q2
"How Jim Willie Sees the Fall of the House of Saud, Finally",48164,Q2
"WaPo: Trump’s business sought deal on a Trump Tower in Moscow, while he ran for president",48626,Q2
North Korean Pop Singer Leads Pre-Olympic Delegation to South,48725,Q2
These Democrats can make Virginia history and bring much-needed progressive views to the statehouse,50038,Q2
Russia playing all sides in the North Korean issue,50086,Q2
"In the Saudi Desert, World’s Business Leaders Follow the Money",50447,Q2
Interview: Man Who Stopped Texas Shooting Is Being Harassed by the Mainstream Media (Video),52029,Q2
Toyota to Take 5 Percent Stake in Mazda and Build Joint U.S. Plant,52531,Q2
Fox’s Tomi Lahren admits she has no idea why players are protesting — but she’s still furiously angry,52861,Q2
Fox News Poll: Majority Believe Trump Tearing Country Apart,54968,Q2
CA Assembly Considers Bill to Delay Start of Public Schools to 8:30,55995,Q2
This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,56236,Q2
"Bride calls off wedding, donates $$30,000 reception to the homeless",56485,Q2
Photogallery - REPORT: LeBron tried to bring Spurs Star to Cleveland but...,57172,Q2
Aleppo’s Melkite archbishop looks to rebuild city from the ashes,57959,Q3
Photogallery - Channing Frye shares his amazement over Derrick Rose,59152,Q3
How the Obama Administration Bypassed Congress to Grant De Facto Amnesty to Young Illegals,59351,Q3
Israel Hiding Its F-35 Warplane Hit By Syrian S-200 Missile?,59582,Q3
DBS' has explained a mistake of 'Dragon Ball Z',59682,Q3
Sen. McCain Expresses Dismay 'We Are a Unicameral Govt',59901,Q3
Liberal German Catholic Church Takes in Record $7.1 Billion in 2017 Tax Revenues,61086,Q3
"Exclusive: Kevin Spacey’s Father Was ‘Nazi Child Rapist’ Who Hated Jews and Sexually Abused His Own Son for Years – and Their Mother Knew, Claims Actor’s Brother",62072,Q3
Reverend Says Brits Should Pray Prince George Turns Out Gay,62699,Q3
Why Should You Build Carports in Your Home? Top Reasons You Cannot Ignore!,62884,Q3
Palestinian Christians Burn Trump Posters In Bethlehem In Fury Over Embassy,63193,Q3
Obama: India needs to “cherish and nurture” its Muslims,63240,Q3
Trump admin. signals states can tie Medicaid to work,63898,Q3
Why Stanford Researchers Tried to Create a ‘Gaydar’ Machine,64011,Q3
Appeals Panel Stays Injunction Against Texas Voter ID Law,65226,Q3
In case you forgot: Donald Trump still has the 'nuclear football',65235,Q3
"Sixers lose a close one to Wizards, but they played to win",65592,Q3
Photogallery - Ten Commandments monument in AK defaced less than 24 hours after installation,66971,Q3
Nashville church killer may have wanted revenge for Dylann Roof rampage in Charleston,67042,Q3
Massachusetts governor signs bill hiking tax on recreational pot,67222,Q3
Pro-Hillary TV Personality Suggests Military Coup To Depose Trump,69269,Q3
Steven Rosenbaum of Waywire Enterprise Attacks his Own Paying Customer in OP-Ed WTF?,69662,Q3
Biological DELUSIONS of the Left: Washington state may allow new parents to request gender-less birth certificates for newborns,70015,Q3
US government files $$400bn Libor case lawsuit in London court,71117,Q3
Chris Christie goes NUCLEAR on Ted Cruz on both CNN and Morning Joe,72018,Q3
"She Recognized Her Own Photo, But Can't Account for 42 Years",72835,Q4_pior
Ex-Sheriff Joe Arpaio Found Guilty of Contempt for Targeting Immigrants,74045,Q4_pior
Senators Promise to Amend Israel Boycott Bill After Backlash,74183,Q4_pior
"Pelosi, House Democrats Display “Political Desperation” Over Tax Reform Plan",74399,Q4_pior
Murphy Once Again Makes the Case for Gateway Tunnel,74473,Q4_pior
Anna Faris has 'Mom' star Allison Janney's full support amidst Chris Pratt split,74734,Q4_pior
"US ""Should & Will"" get along with Russia: Trump finally holds promise",76262,Q4_pior
Part 5: America’s Immigration-Driven Population Predicament—oil created a 100 year window that’s closing,77702,Q4_pior
"‘Friday the 13th: The Game’ dev previews secret game mode, Spring Break DLC",79074,Q4_pior
Sky a funny colour confirms absolutely everyone on Facebook,79537,Q4_pior
Photogallery - MSNBC host destroys Donald Trump over 'repulsive' support of Roy Moore,79956,Q4_pior
How petty is Trump? His admin ripped out an Obama-era bikeshare station at the White House,80008,Q4_pior
Where Police Care More About Internet Trolls Than Child Sex Rings,81018,Q4_pior
Former Obama HACK Dan Pfeiffer deletes tweet on Trump admin. response to Puerto Rico,81078,Q4_pior
Interior Secretary Ryan Zinke has a side grift going: raising money for 'scam PACs',83570,Q4_pior
"Stranded on Norwegian Island, Rowers End Their Arctic Mission",83576,Q4_pior
NJ Politics Digest: Judge Could Decide to Toss Menendez Charges,84351,Q4_pior
NFL: Steelers' David DeCastro slams his team over Jaguars' loss,87178,Q4_pior
"Rep. Paul Gosar Unveils 'Not All DREAMers' PAC, Plans to Fight Open Border Candidates",87879,Q4_pior
NJ House Members Take Sides on GOP Tax Bill,88568,Q4_pior
Trump's Ex-Campaign Chief Manafort Faces Obama Appointee on Bench,92143,Q4_pior
Journalist Joins His Jailer’s Side in a Bizarre Persian Gulf Feud,97088,Q4_pior
Lettuce entertain you: Scantily clad models descend on Cuba to promote PETA agenda,97358,Q4_pior
Trump in Devastated Puerto Rico: You've Thrown Budget 'Out of Whack',97846,Q4_pior
"VIDEO Protests ERUPT: DEMAND MAYOR BETSY HODGES’ RESIGNATION, shut down press conference",103294,Q4_pior
