frase,ranking_total,quartil
Bernie Sanders says Democrats are ready to help Republicans fix Obamacare,20399,Q1_melhor
Is the National Security Council becoming a national security threat?,29133,Q1_melhor
Death of 2 State Troopers Adds Another Layer of Tragedy in Charlottesville,29701,Q1_melhor
Trump administration to open up new areas for oil and gas exploration,30344,Q1_melhor
Hurricane Nate Could Cause Nearly $$4 Billion In Damage Along Gulf Coast,30557,Q1_melhor
"Seattle redistributes $230,000 of taxpayer money to political candidates in the name of “democracy”",31352,Q1_melhor
Twitter blames human error for deactivation of President Trump’s personal account; Updated,34480,Q1_melhor
Why is the CIA allowing such open leaking about what Trump administration knew and when it knew it?,37520,Q1_melhor
"Mark Penn and Andrew Stein have published the most execrable ""advice to Democrats"" op-ed ever",38802,Q1_melhor
Russia rejects US demands for changes to Iran nuclear deal,39208,Q1_melhor
Department of Homeland Security is Collecting Social Media Data on All Immigrants,39878,Q1_melhor
"Chinese hotel is fined £1,700 for accepting Muslim guests during political Congress",39952,Q1_melhor
Kevin McCarthy: Tax Reform Will Help Innovation and Entrepreneurship,40843,Q1_melhor
When the Boss Wants You to Do Something Unethical,41030,Q1_melhor
DARPA unveils gene editing infrastructure to build genetically engineered “super soldiers”,42533,Q1_melhor
Ralph Northam Did Better Among Virginia Women Than Hillary Clinton Did,42605,Q1_melhor
A few schools reopen in Puerto Rico as it tries to regain normalcy,43130,Q1_melhor
Paul Ryan says spending bill will save Obama’s Dreamers,44911,Q1_melhor
Bill Gates Donates $$100 Million to Find Alzheimer’s Cure in 10 Years,45531,Q1_melhor
"New study backs up reports of near-death experiences, claiming that consciousness continues to work",45886,Q1_melhor
Google employees plotted with Antifa terror groups to wage violent revolution to overthrow President Trump,47397,Q1_melhor
Back to Saturn? Five Missions Proposed to Follow Cassini,48554,Q1_melhor
"Friends Provide Better Pain Relief Than Morphine, Oxford University Study Reveals",48673,Q1_melhor
Photogallery - Al Gore compares Trump presidency to ‘Red Wedding’ episode of ‘Game of Thrones’,48771,Q1_melhor
Authorities To Start Arresting People For Posting Photos Of Their Children Online,49604,Q1_melhor
Metropolis at 90: You’ll Never See a Movie Like This Again,49990,Q2
Raqqah Sheiks change sides as easily as the opposition groups do,50939,Q2
Murphy Leads Guadagno by 14 Points in New Monmouth Poll,51063,Q2
Washington Should Take Note of Chinese Advancement in Brazil,51157,Q2
"Diet Rich in Apples and Tomatoes May Help Repair Lungs of Ex-Smokers, Study Suggests",51210,Q2
Palestinian PM to Visit Gaza Next Week for Reconciliation Efforts,51444,Q2
Trump says O. J. Simpson was framed and the LAPD planted evidence in newly released transcripts,52240,Q2
Why are Democrats suddenly distancing themselves from Hillary? Anybody? Mueller?,53084,Q2
"In a Swiss Ski Town, Private Chalets Have Become the Place to Stay",53784,Q2
"Paul Ryan Calls for Tax Reform, Letting Americans ‘Keep More of Your Own Money’",54033,Q2
How the MS-13 gang flourishes seven blocks from the White House,54365,Q2
Russian trolls watched ‘House of Cards’ to learn about US politics,54414,Q2
Julia Barretto Might Have Showed Off the OPPO F5 Plus,55092,Q2
Damascus: Syrian Army Poised to Retake Last Al-Qaeda Held District,55216,Q2
Families Of US Diplomats Ordered To Leave Venezuela As Maduro Purges Opposition,56237,Q2
In Berkeley Springs Morgan County Commission Hears Opponents of Mountaineer Gas Pipeline,56253,Q2
OH-Gov: Nan Whaley (D) Hits Trump For Refusing To Declare A National Emergency On Opioid Epidemic,56648,Q2
PaulCraigRoberts.org George Soros Could Not Subvert Europe Without Washington’s Approval,57821,Q2
"How organizers raised over $233,000 in one day to bail hundreds out of jail",58233,Q2
Making It Relevant: Helping Students Connect Their Studies to the World Today,58507,Q2
"Pittsburgh Steelers dropped the ball, lost to New England Patriots",59947,Q2
Photogallery - Ten Commandments monument in AK defaced less than 24 hours after installation,61019,Q2
Baltimore Police Now Blocking FBI From Investigating Murder of Cop Set To Testify Against Fellow Cops,61064,Q2
Silicon Valley’s Peter Thiel Finally Cuts Ties with Y Combinator,61186,Q2
It appears the Trump admin. hasn’t learned from Michelle Obama’s school lunch fiasco,61724,Q2
Ferguson Drops Charges Against Man Cited in Justice Dept. Report,62135,Q3
Friend of Joy-Anna Duggar reveals shocking secret about her pregnancy,62814,Q3
Dutch have done it again with NRA spoof video,63029,Q3
Mooch chose to be with Trump instead of wife giving birth,63112,Q3
"Something really f--king fishy is buried in Graham-Cassidy's funding numbers, and it involves Alaska",63150,Q3
Paul Kagame Appears Set for Victory in Rwanda Vote,63322,Q3
Michael Moore Leads Audience of Broadway Play to Trump Tower,64035,Q3
"Trump-Endorsed GOP Senate Candidate In Alabama Accepted $$1,000 Donation From Nazi Group",64742,Q3
"Texas Church Shooting Video Shows Gunman’s Methodical Attack, Official Says",65381,Q3
Photogallery - Vince Young surpassed by Marcus Mariota in Tennessee Titans record book,65573,Q3
Wolff Said Trump Enacted Trans Military Ban for 'No Evident Reason'; But He's Wrong,65874,Q3
Republicans Want Trump And Corker To Please SHUT UP,65890,Q3
Another royal engagement is trending as Princess Eugenie plans a fall wedding,66495,Q3
Photogallery - Tesla to begin production of electric trucks by 2019,66574,Q3
John McCain Goes ‘Maverick’ Again; Makes Anti-Trump Military Announcement Like A Real Leader,67633,Q3
Congress Can Save Taxpayers Billions By Closing Unneeded Bases,67655,Q3
North America Occupied the Global Self-Driving Car Market with The Foremost Market Share,67939,Q3
Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,69066,Q3
Photogallery - Samsung to break tradition with dual cameras from 2018,69384,Q3
Palestinian Christians Burn Trump Posters In Bethlehem In Fury Over Embassy,69685,Q3
BREAKING: Missing Strzok/Page Text Messages Found (It’s a Miracle!),71021,Q3
Ban On MKs Visiting Temple Mount Will Likely Continue,72607,Q3
"Trump Administration Defends Cuba Embargo at U.N., Reversing Obama",72692,Q3
Angola’s Governing Party Wins Most Parliament Seats in Vote,72882,Q3
Massachusetts governor signs bill hiking tax on recreational pot,73343,Q3
It is Bogus: FBI Says it Can’t Substantiate Trump-Russia “Collusion” Allegations in Discredited “Dossier”,73789,Q4_pior
House Bill Will Make Churches Dark Money Super PACs,74628,Q4_pior
It’s confusing. There is no explanation': Some green card holders getting turned away from US Army,74879,Q4_pior
"The Pentagon Drops the SPLC, Other Agencies Must, Too",74955,Q4_pior
Dismissed FBI Agent Falsified Statement That Would’ve Implicated Hillary Clinton in a CRIME,74971,Q4_pior
Democrats Call on Rep. John Conyers to Resign in Light of Sexual Misconduct Claim,75082,Q4_pior
Planned Parenthood Is Targeting Baby Girls in the Womb,75937,Q4_pior
"Flight Crew Takes A Knee And Walks Off, Leaving New Orleans Saints Stranded On Runway",77093,Q4_pior
"‘You imbeciles’! Yahoo News tries to paint GOPer Ed Gillespie as racist, fails MISERABLY",78238,Q4_pior
Team Wilson Combat Brings Home IDPA National Championship Titles,78571,Q4_pior
"Australia: Devout Muslim butchered wife, mutilated her body, gouged her eye out",79010,Q4_pior
Photogallery - LaVar Ball starting to criticize Lakers coach Luke Walton,79082,Q4_pior
"Union Urges Gay Teachers to Come Out in the Classroom, Teach LGBT Experiences",79756,Q4_pior
