frase,score
Varadkar Going To Tell That Mean Old Ceann Comhairle Where To Go One Of These Days,12707
"Let Them Eat (Yellow) Cake, Where the Uranium Comes From",12587
German Smoke Show Sprinter Will Have You Questioning Your Olympic Allegiance,12465
U.K. Anti-Terror Censorship Law Stupidly Used Against Guy Who Fights Terrorism,12173
"John Legend Puts Out Music Video Casting Call for White, ‘Out of Shape’ Trump Supporters",12169
"Puh-LEEZE! Sen. Menendez (yes, THAT one) serves up Halloween scare about GOP",12128
Congress Must Audit PREPA as Hurricane Fallout in Puerto Rico Continues,12120
50 pastors throw their hats into the ring for suspected molester Roy Moore—or did they?,12097
Treasury Sec. Mnuchin Takes 'Bond Villain' Slap as 'Compliment',12092
‘He drank the Kool-Aid’: Homeland Chief Kelly ripped for lying at his hearing — then pushing Trump agenda,12074
Donna Brazile Tells Her Critics Where They Can Go,12067
"McCain tries to bring Trump to Heel, cites draft record",12059
"CORRUPT AUSTIN DEM REP. DAWNNA DUKES SPENT $$51,000 ON PSYCHIC, WORKED HIGH ON MORPHINE, USED AIDE AS FAMILY DRIVER",11990
"RNC asks Democrats 'Where's your plan?' for health care, gets owned in response",11981
DAAAMN! Dana Loesch WALLOPS former Daily Show producer in FIERY back-and-forth over NRA ad,11952
"Military Times Poll Finds drumpf Underwater with Troops, Especially Officers.",11939
‘Star Wars’ Royalty: Princes Said to Have Cameo in Film,11932
Entire eight-and-under football team takes a knee during national anthem,11876
Suit Argues New Angle in Claim of For-Profit College Fraud,11839
"‘Janelle Asked to the Bedroom,’ a Micronovel by Chimamanda Ngozi Adichie",11807
Ana Navarro wipes the floor with right-wing Trump supporter over Arizona speech,11775
"New Report Suggests Seth Rich Murder Not Robbery, Possible “Hired Killer”",11774
How to make a brine for turkey that will make mouths water on Thanksgiving Day,11767
Iowahawk’s suggestion for an angry uncle Voxsplainer updated with man who threatened Sen. Joni Ernst,11739
Hilary Rosen awfully troubled by this dude’s ‘anti-Semitic’ bacon suit,11735
Woman Ordered to Take Down Pro-Trump Signs Would Rather Go to Jail Than Remove Them,11733
Bruce Springsteen Could Be Going for the EGOT as He Makes Broadway Debut,11724
Dragon Ball Super' Jiren stronger than Fused Zamasu could trigger SSB Vegito,11686
Hillary Clinton Overshadows the Most Important Moment of The Grammys,11671
