ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Estalar o chicote.,Crack the whip.,1,48,152,303,475,616,221,1816
blow off steam,desabafar,venting,53,48,287,566,647,574,313,2488
let the cat out of the bag,Deixar o gato sair do saco.,Let the cat out of the bag.,1,12,76,39,341,314,1,784
They are riding bicycles in the neighborhood.,Eles estão andando de bicicletas na vizinhança.,They are riding bicycles in the neighborhood.,1,1,3,158,142,537,1,843
He likes to watch movies in his free time.,Ele gosta de assistir a filmes no seu tempo livre.,He likes to watch movies in his free time.,1,1,3,160,67,184,1,417
She enjoys painting in her free time.,Ela gosta de pintar em seu tempo livre.,She enjoys painting in her free time.,1,1,3,176,75,92,1,349
bite off more than you can chew,morder mais do que você pode mastigar,"""Bite off more than you can chew.""",1,28,153,311,498,569,258,1818
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,1,48,145,19,306,2,1,522
dime a dozen,dezena comum,common dozen,37,48,336,649,582,659,255,2566
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,127,101,90,1,324
leave no stone unturned,Não deixe pedra sobre pedra.,"""Leave no stone unturned.""",1,48,144,318,413,499,56,1479
hold the fort,defender o posto,defend the position,41,48,247,483,517,544,192,2072
He is putting the groceries away.,Ele está guardando as compras.,He is putting away the groceries.,13,48,37,335,325,614,119,1491
fit as a fiddle,em forma como um violino,in shape like a violin,46,48,272,571,547,427,206,2117
an iron fist,uma mão de ferro,an iron fist,1,48,3,258,88,259,36,693
beggars can’t be choosers,"""Quem está em necessidade não pode escolher.""","""Those in need cannot choose.""",53,48,324,521,574,311,55,1886
card up your sleeve,carta na manga,ace up one's sleeve,33,48,246,575,600,686,322,2510
beating around the bush,Enrolando.,Wasting time.,53,48,391,604,672,687,354,2809
She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,She is giving a speech at the conference.,1,1,2,282,197,335,1,819
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,159,207,606,14,991
ace up your sleeve,ás na manga,ace up one's sleeve,24,48,219,522,523,678,300,2314
an open book,um livro aberto,an open book,1,48,3,173,11,224,1,461
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is giving a presentation at work.,1,1,3,149,198,136,1,489
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,181,129,370,1,686
color outside the lines,c colorir fora das linhas,to color outside the lines,8,14,92,529,412,495,288,1838
easy as pie,fácil como pãozinho,easy as pie,1,48,3,190,7,388,12,649
blind as a bat,cego como um morcego,blind as a bat,1,1,3,162,233,622,151,1173
change of heart,mudança de coração,change of heart,1,48,3,231,173,331,1,788
food for thought,alimento para a reflexão,food for thought,1,48,3,262,46,59,24,443
black as night,negra como a noite,black as night,1,48,4,204,2,480,33,772
a chip on your shoulder,Um complexo de inferioridade.,An inferiority complex.,53,48,387,589,666,9,254,2006
close to my heart,perto do meu coração,Close to my heart,1,48,3,11,309,454,1,827
apple of my eye,melhor coisa da minha vida,best thing of my life,33,48,342,668,607,212,155,2065
get the show on the road,Colocar o espetáculo na estrada.,"""Put the show on the road.""",13,37,210,412,448,366,177,1663
easy as pie,fácil como um pedaço de bolo,Easy as pie.,1,48,142,279,278,596,1,1345
back to square one,de volta à estaca zero,back to square one,1,1,3,248,34,268,1,556
devil's advocate,advogado do diabo,devil's advocate,1,48,3,296,108,323,1,780
She went to the library to study.,Ela foi à biblioteca para estudar.,She went to the library to study.,1,1,2,232,237,158,1,632
fit as a fiddle,em forma excelente,in excellent shape,53,48,384,548,604,492,233,2362
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to watch a play.,1,1,2,324,177,129,1,635
falling through the cracks,caindo entre as fendas,"""falling through the cracks""",1,31,175,430,431,653,174,1895
She made breakfast for the family.,Ela fez o café da manhã para a família.,She made breakfast for the family.,1,1,2,186,230,85,1,506
She is talking on the phone.,Ela está falando ao telefone.,She is on the phone.,6,30,89,413,433,98,122,1191
all bark and no bite,apenas latido e nenhum ataque,"""Just barking and no bite.""",27,48,237,435,466,475,253,1941
apple of discord,maçã da discórdia,apple of discord,1,48,3,256,41,604,202,1155
spill the beans,revelar o segredo,reveal the secret,41,48,291,537,581,189,146,1833
burn your bridges,queimou suas pontes,burned his bridges,41,48,206,538,500,598,214,2145
I need to buy groceries this afternoon.,Preciso comprar mantimentos esta tarde.,I need to buy groceries this afternoon.,1,1,4,55,92,193,1,347
as bold as brass,tão ousado quanto um latão,"""as bold as a can""",24,48,251,611,621,660,338,2553
close to the vest,próximo ao colete,next to the vest,20,48,113,461,471,617,93,1823
blood is thicker than water,sangue é mais espesso que água,Blood is thicker than water.,1,31,62,22,208,218,1,543
back to the drawing board,de volta à estaca zero,back to square one,33,48,262,507,539,268,159,1816
She went to the post office to send a package.,Ela foi ao correio para enviar um pacote.,She went to the post office to send a package.,1,1,3,250,266,54,1,576
as right as rain,tudo certo,All right,41,48,399,597,570,468,314,2437
He is planning his day ahead.,Ele está planejando seu dia à frente.,He is planning his day ahead.,1,1,4,171,61,485,69,792
She took a shower in the morning.,Ela tomou um banho de manhã.,She took a shower in the morning.,1,1,3,180,124,41,1,351
best of both worlds,o melhor dos dois mundos,the best of both worlds,8,14,90,120,220,373,1,826
antsy as a cat on a hot tin roof,agitado como um gato em um telhado quente de zinco,"""Agitated as a cat on a hot zinc roof.""",17,38,195,527,512,513,256,2058
He is building a model airplane.,Ele está construindo um modelo de avião.,He is building an airplane model.,23,48,28,423,332,133,46,1033
devil's advocate,advogado do diabo,devil's advocate,1,48,3,296,108,323,1,780
burst your bubble,estourar sua bolha,burst your bubble,1,48,2,300,17,500,91,959
all eyes on you,todos os olhares estão em você,All eyes are on you.,8,48,179,257,370,296,1,1159
a skeleton in the closet,um esqueleto no armário,a skeleton in the closet,1,1,3,122,250,88,1,466
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,1,1,2,62,133,403,1,603
cool as a cucumber,tranquilo como um pepino,calm as a cucumber,20,48,55,391,451,281,127,1373
He took the bus to work.,Ele pegou o ônibus para o trabalho.,He took the bus to work.,1,1,3,92,218,165,1,481
as easy as pie,tão fácil quanto uma torta,As easy as pie.,1,48,111,100,169,325,1,755
butterfly effect,efeito borboleta,butterfly effect,1,48,3,382,21,134,1,590
They watched a TV show in the evening.,Eles assistiram a um programa de televisão à noite.,They watched a television program at night.,38,48,103,408,416,246,1,1260
She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,She is brushing her teeth before going to bed.,10,24,100,346,339,53,1,873
blown out of the water,soprados para fora da água,blown out of the water,1,1,2,8,174,523,103,812
