frase,ranking_total,quartil
don’t put all your eggs in one basket,4476,Q1_melhor
heart of stone,5600,Q1_melhor
my hands are tied,5679,Q1_melhor
They are playing chess at the table.,5910,Q1_melhor
I worked on my computer for two hours.,6510,Q1_melhor
better late than never,6648,Q1_melhor
She painted a picture of a landscape.,7434,Q1_melhor
"if you can't stand the heat, get out of the kitchen",7555,Q1_melhor
She cleaned the kitchen after dinner.,7939,Q1_melhor
eye of the storm,8125,Q1_melhor
armed to the teeth,8648,Q1_melhor
cast the first stone,8692,Q1_melhor
She bought a new phone last week.,9098,Q1_melhor
ball is in your court,9539,Q1_melhor
close to my heart,9584,Q1_melhor
born with a silver spoon,9586,Q1_melhor
heart of stone,9982,Q1_melhor
They are having a picnic in the park.,10035,Q1_melhor
all in the same boat,10120,Q1_melhor
She took the train to the city.,10224,Q1_melhor
black and blue,10554,Q1_melhor
He ate his breakfast quickly.,10558,Q1_melhor
She danced at the party last night.,10593,Q1_melhor
caught in a web,10699,Q1_melhor
a mountain to climb,10836,Q1_melhor
She is typing on her computer.,11434,Q2
"if the shoe fits, wear it",11577,Q2
He likes to watch movies in his free time.,11580,Q2
breaking the mold,11781,Q2
They are playing board games in the living room.,11872,Q2
They watched a movie on the weekend.,11976,Q2
buy a lemon,12136,Q2
He is cleaning the garage.,12171,Q2
She had a cup of soup for lunch.,12502,Q2
born with a silver spoon,12537,Q2
apple of discord,12538,Q2
They are swimming at the pool.,12567,Q2
He is watering the plants.,12750,Q2
I did the laundry yesterday.,12814,Q2
a drop in the ocean,12877,Q2
They are practicing their dance routine.,13449,Q2
They went shopping for new clothes.,13456,Q2
He worked on his computer for hours.,13465,Q2
as stubborn as a mule,13529,Q2
against the grain,13547,Q2
He is checking his email.,13584,Q2
She studied for the test all week.,13978,Q2
The kids played in the playground.,14119,Q2
make a mountain out of a molehill,14185,Q2
She is playing piano in the evening.,14324,Q2
make waves,14673,Q3
They went for a swim at the pool.,14889,Q3
come out of your shell,14903,Q3
She worked on her project all afternoon.,14942,Q3
blind leading the blind,15011,Q3
down to earth,15143,Q3
cat's out of the bag,15280,Q3
dressed to kill,15312,Q3
climbing the walls,15674,Q3
have the upper hand,15704,Q3
They are making pizza together.,15717,Q3
falling through the cracks,15750,Q3
adding insult to injury,15863,Q3
down to earth,15923,Q3
ball of fire,16040,Q3
beat the clock,16539,Q3
He is drawing in his sketchbook.,16578,Q3
fall through the cracks,16594,Q3
an uphill battle,16616,Q3
bird's eye view,16668,Q3
She is ironing her clothes.,16756,Q3
as clear as mud,17151,Q3
She is gardening in the backyard.,17412,Q3
beat around the bush,17540,Q3
backseat driver,17844,Q3
blow a fuse,18328,Q4_pior
blue in the face,18501,Q4_pior
beggars can’t be choosers,18517,Q4_pior
ace in the hole,18585,Q4_pior
bite the bullet,18705,Q4_pior
at the drop of a hat,18930,Q4_pior
chip on your shoulder,19315,Q4_pior
butter wouldn’t melt in their mouth,19389,Q4_pior
all in a day's work,19517,Q4_pior
get the show on the road,19706,Q4_pior
beat a hasty retreat,20150,Q4_pior
eat your heart out,20172,Q4_pior
beating around the bush,20411,Q4_pior
hit the sack,20682,Q4_pior
hold your horses,20797,Q4_pior
on cloud nine,20837,Q4_pior
come apart at the seams,21112,Q4_pior
go the extra mile,21353,Q4_pior
as bold as brass,21412,Q4_pior
by a long shot,21555,Q4_pior
by the skin of your teeth,22207,Q4_pior
bare bones,22262,Q4_pior
close call,22315,Q4_pior
close shave,22584,Q4_pior
chip on the shoulder,23066,Q4_pior
