frase,ranking_total,quartil
I worked on my computer for two hours.,3023,Q1_melhor
I called my friend last night.,3105,Q1_melhor
She is listening to music while cooking.,3171,Q1_melhor
The sun rises in the east.,3347,Q1_melhor
He likes to watch movies in his free time.,3574,Q1_melhor
They are planning a trip to Europe.,3782,Q1_melhor
She went to the library to study.,4254,Q1_melhor
don't judge a book by its cover,4345,Q1_melhor
He washed his car yesterday.,4504,Q1_melhor
She attended a conference last week.,4604,Q1_melhor
She is sending a letter to her friend.,4915,Q1_melhor
They cleaned the house on Saturday.,4931,Q1_melhor
She is brushing her teeth before bed.,5100,Q1_melhor
She is talking on the phone.,5490,Q1_melhor
They are going to the cinema tonight.,5610,Q1_melhor
curiosity killed the cat,5643,Q1_melhor
He is drinking tea in the morning.,5932,Q1_melhor
He watched a football match on TV.,6067,Q1_melhor
They went to the theater to watch a play.,6132,Q1_melhor
She is organizing her closet.,6292,Q1_melhor
He is playing soccer with his friends.,6681,Q1_melhor
She went to the post office to send a package.,6700,Q1_melhor
He is working on his laptop.,6710,Q1_melhor
The weather is very cold today.,6827,Q1_melhor
don't bite the hand that feeds you,6952,Q1_melhor
They are having a family gathering at home.,7661,Q2
She painted a picture of a landscape.,7827,Q2
calm before the storm,7847,Q2
She took a shower in the morning.,7934,Q2
chasing shadows,8064,Q2
back to square one,8131,Q2
in the same boat,8583,Q2
They went on a road trip last summer.,8625,Q2
He is taking photos with his camera.,9016,Q2
She went to the dentist for a check-up.,9051,Q2
carved in stone,9052,Q2
She is dancing to the music.,9065,Q2
He attended a wedding last weekend.,9337,Q2
He is doing his homework in the study room.,9354,Q2
They watched a TV show in the evening.,9417,Q2
burn your bridges,10323,Q2
a drop in the ocean,10420,Q2
She is playing piano in the evening.,10429,Q2
follow your nose,10500,Q2
give the green light,10519,Q2
a storm in a teacup,10642,Q2
close to my heart,11133,Q2
easy as pie,11400,Q2
dark horse,11560,Q2
don't count your chickens before they hatch,11809,Q2
fingers crossed,12881,Q3
a taste of your own medicine,13100,Q3
She is shopping for groceries.,13127,Q3
fighting a losing battle,13300,Q3
dying to know,13544,Q3
falling through the cracks,13678,Q3
bird's eye view,13936,Q3
at a snail's pace,13997,Q3
give someone a run for their money,14497,Q3
dare to dream,14525,Q3
let sleeping dogs lie,14557,Q3
back to the grind,14571,Q3
backseat driver,14789,Q3
chasing your tail,14895,Q3
between a rock and a hard place,14951,Q3
"like father, like son",15814,Q3
dead in the water,15890,Q3
cost an arm and a leg,15906,Q3
feast your eyes,16118,Q3
beggars can’t be choosers,16187,Q3
blood runs cold,16211,Q3
an uphill battle,16754,Q3
come rain or shine,17046,Q3
at death's door,17135,Q3
apple of my eye,17457,Q3
finding your feet,18051,Q4_pior
apple of my eye,18181,Q4_pior
get out of hand,18227,Q4_pior
chip on your shoulder,18321,Q4_pior
crack the whip,18563,Q4_pior
bottom of the barrel,18665,Q4_pior
bare bones,18927,Q4_pior
over the moon,19012,Q4_pior
be on cloud nine,19072,Q4_pior
at the helm,19161,Q4_pior
burnt out,19500,Q4_pior
by a hair's breadth,19509,Q4_pior
spill the beans,19650,Q4_pior
ace in the hole,20081,Q4_pior
as good as done,20089,Q4_pior
behind the eight ball,20091,Q4_pior
down in the dumps,20386,Q4_pior
all thumbs,20498,Q4_pior
all thumbs,20556,Q4_pior
batten down the hatches,20693,Q4_pior
hit the books,21151,Q4_pior
as fit as a fiddle,21228,Q4_pior
broad strokes,21313,Q4_pior
hit the sack,21707,Q4_pior
hold your horses,22142,Q4_pior
