frase,ranking_total,quartil
actions speak louder than words,4712,Q1_melhor
a ray of hope,5424,Q1_melhor
don't judge a book by its cover,5488,Q1_melhor
all in the same boat,5940,Q1_melhor
all's fair in love and war,6250,Q1_melhor
break the ice,6914,Q1_melhor
carrying the weight of the world,7577,Q1_melhor
"if you can't stand the heat, get out of the kitchen",7742,Q1_melhor
have a heart of stone,7962,Q1_melhor
a penny saved is a penny earned,8122,Q1_melhor
back to square one,8717,Q1_melhor
heart of stone,8776,Q1_melhor
finding a needle in a haystack,9131,Q1_melhor
"another day, another dollar",9628,Q1_melhor
He traveled to Paris last year.,9780,Q1_melhor
She painted a picture of a landscape.,9798,Q1_melhor
I went to the store to buy some bread.,10311,Q1_melhor
as stubborn as a mule,10508,Q1_melhor
don't cry over spilled milk,10561,Q1_melhor
They took a bus to the city center.,10628,Q1_melhor
a leopard can't change its spots,11119,Q1_melhor
She is playing with her cat.,11134,Q1_melhor
blessing in disguise,11201,Q1_melhor
breaking the mold,11353,Q1_melhor
They watched a movie on the weekend.,11552,Q1_melhor
They are painting the walls of their house.,11979,Q2
bird's eye view,12038,Q2
back to the grind,12048,Q2
flying high,12106,Q2
He is drawing a picture of his dog.,12134,Q2
They are taking a family vacation.,12235,Q2
She plays the piano beautifully.,12440,Q2
cast the first stone,12583,Q2
He is cleaning the garage.,12922,Q2
He is writing a story for school.,13016,Q2
blind as a bat,13057,Q2
back to basics,13133,Q2
They are enjoying a cup of coffee together.,13284,Q2
She had a meeting with her boss.,13290,Q2
He wrote a letter to his friend.,13333,Q2
They are making pizza together.,13790,Q2
climbing the ladder,13809,Q2
color outside the lines,13820,Q2
He is checking his email.,13913,Q2
bring to the table,13919,Q2
He is taking photos with his camera.,13923,Q2
change of tune,14276,Q2
cut to the chase,14417,Q2
They went shopping for new clothes.,14455,Q2
She is brushing her teeth before bed.,14635,Q2
He plays soccer every weekend.,15002,Q3
They are watching TV in the living room.,15087,Q3
He went to a birthday party last night.,15104,Q3
big league,15121,Q3
She is typing on her computer.,15181,Q3
as easy as shooting fish in a barrel,15307,Q3
He attended a wedding last weekend.,15443,Q3
He is working out in the gym.,15445,Q3
cut from the same cloth,15770,Q3
He is reading a newspaper.,15774,Q3
smooth sailing,15782,Q3
He played video games all evening.,15804,Q3
They traveled to the mountains for vacation.,15929,Q3
get your ducks in a row,15944,Q3
bleeding heart,15999,Q3
carry the torch,16484,Q3
all in a day's work,16526,Q3
He is feeding his pet hamster.,16526,Q3
beyond the pale,16578,Q3
carry a torch,16585,Q3
a chip on your shoulder,16615,Q3
easy as pie,16962,Q3
They are eating lunch together.,17129,Q3
dead in the water,17290,Q3
He is going to the post office.,17399,Q3
broad strokes,17924,Q4_pior
a snowball's chance in hell,18068,Q4_pior
He is working on his laptop.,18073,Q4_pior
a slap on the wrist,18224,Q4_pior
She is shopping for groceries.,18323,Q4_pior
He is cutting vegetables for dinner.,18463,Q4_pior
caught red-handed,18682,Q4_pior
hit the nail on the head,18992,Q4_pior
airing dirty laundry,19198,Q4_pior
adding insult to injury,19343,Q4_pior
get a second wind,19689,Q4_pior
come out of the woodwork,19696,Q4_pior
butter wouldn’t melt in their mouth,19860,Q4_pior
card up your sleeve,20502,Q4_pior
break the back of it,20612,Q4_pior
call a spade a spade,20697,Q4_pior
blind alley,21136,Q4_pior
by the skin of your teeth,21351,Q4_pior
He is putting the groceries away.,21403,Q4_pior
feeling under the weather,21678,Q4_pior
big time,22229,Q4_pior
call it a day,22289,Q4_pior
beat around the bush,22349,Q4_pior
close call,22700,Q4_pior
as fit as a fiddle,22952,Q4_pior
